District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,306,718,2208,3232,306,718,2208,3232,3899,3576,3433,3509,2747,9638
GAMPAHA,1589,3378,5377,10344,1577,3278,5236,10091,3401,3681,3835,3717,8577,31882
KALUTARA,115,1347,8835,10297,115,1346,8831,10292,3842,3546,3654,3642,9494,34573
KANDY,4244,4805,2063,11112,4244,4779,2049,11072,5218,3640,3880,4289,8755,37554
MATALE,7195,7604,4316,19115,7192,7521,4134,18847,5666,5301,4477,5260,16950,89147
NUWARAELIYA,843,3799,18,4660,843,3799,18,4660,4601,5090,4231,4998,2626,13124
GALLE,197,1509,6607,8313,196,1509,6603,8308,4050,2751,3336,3247,6502,21112
MATARA,4078,3071,5801,12950,4005,3058,5738,12801,4602,4019,3927,4160,10106,42043
HAMBANTOTA,27269,5637,1258,34164,27269,5614,1258,34141,6804,6210,4507,6622,29829,197527
JAFFNA,_,_,10588,10588,_,_,10171,10171,_,_,4224,4224,9026,38123
MANNAR,15281,3907,79,19267,15281,3907,79,19267,5115,5128,3828,5112,18396,94045
VAVUNIYA,4376,12326,2505,19207,4362,11560,2374,18296,5583,5683,5180,5594,17262,96567
MULATIVU,6954,4242,5421,16617,5210,2907,2861,10978,5121,5287,4162,4915,10357,50907
KILLINOCHCHI,11418,553,14794,26765,11258,521,14389,26168,4457,3866,2917,3599,23221,83563
BATTICALOA,24554,3841,38819,67214,24554,3841,38819,67214,3450,3474,3025,3206,59323,190167
AMPARA,60032,4533,15417,79982,59903,4452,12005,76360,5248,4502,4138,5030,72976,367085
TRINCOMALEE,20243,7642,10702,38587,20243,7642,10583,38468,4681,4351,3320,4241,35737,151555
KURUNEGALA,17944,36159,26267,80370,17937,35999,26139,80075,5660,4485,4370,4711,80076,377199
PUTTALAM,7899,10857,1925,20681,7870,10720,1803,20393,4877,4486,3891,4584,17334,79462
ANURADHAPURA,53254,45673,10886,109813,53188,45386,10680,109254,5889,5142,4207,5414,87851,475637
POLONNARUWA,56720,6831,2419,65970,56679,6827,1682,65188,5083,5067,4840,5075,57666,292645
BADULLA,10757,9572,5341,25670,10755,9534,5326,25615,5030,4545,4350,4708,21773,102511
MONARAGALA,8893,10615,16536,36044,7050,9073,10057,26180,6515,4768,3915,4911,25656,125995
RATNAPURA,3809,5029,2337,11175,3804,5022,2333,11159,5728,4290,3850,4688,9486,44475
KEGALLE,_,1776,4114,5890,_,1776,4114,5890,_,4551,4794,4721,5517,26045
SRI_LANKA,347970,195424,204633,748027,343841,190789,189490,724120,5278,4774,3768,4747,647243,3072581
