District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,388,638,3189,4215,388,637,3186,4211,2947,2699,2875,2855,3580,10222
GAMPAHA,1859,2144,8345,12348,1847,2127,8275,12249,3705,3516,3380,3453,10411,35911
KALUTARA,140,1428,11580,13148,139,1417,11515,13071,2554,2600,2753,2735,12058,32973
KANDY,4360,5673,3145,13178,4360,5669,3143,13172,3987,3629,3052,3610,10417,37603
MATALE,7657,8197,4420,20274,7657,8190,4416,20263,4134,4391,4042,4218,18223,76864
NUWARAELIYA,877,4066,17,4960,877,4059,17,4953,3767,3935,3858,3905,2791,10898
GALLE,-,223,12096,12319,-,215,11795,12010,-,2547,2532,2532,9400,23803
MATARA,3825,4239,6503,14567,3779,4199,6485,14463,3765,3688,3014,3406,11418,38884
HAMBANTOTA,30406,5649,1292,37347,30390,5607,1292,37289,5754,4364,3524,5468,32579,178137
JAFFNA,-,-,11408,11408,-,-,11261,11261,-,-,2889,2889,9993,28869
MANNAR,15196,6477,444,22117,15193,6476,444,22113,3802,2972,746,3497,21113,73839
VAVUNIYA,4792,14342,4369,23503,4779,14059,4171,23009,3405,2745,2626,2861,21710,62101
MULATIVU,8772,5335,11545,25652,8772,5335,11545,25652,3537,3226,2824,3152,24203,76274
KILLINOCHCHI,11880,425,15578,27883,11880,425,15207,27512,3387,3261,3157,3258,24414,79545
BATTICALOA,30212,4014,37207,71433,30212,4014,37207,71433,3800,3220,2494,3088,63047,194671
AMPARA,60740,3796,16017,80553,60720,3457,15709,79886,4487,3878,3018,4172,76347,318517
TRINCOMALEE,24819,10084,13700,48603,24809,10065,13700,48574,3684,2686,2483,3138,45126,141623
KURUNEGALA,17552,34443,26258,78253,17523,34276,26058,77857,4391,3568,3588,3760,77857,292723
PUTTALAM,6683,10406,2280,19369,6595,10245,2193,19033,4145,3305,3077,3570,16178,57756
ANURADHAPURA,55236,47959,15623,118818,55089,47181,15087,117357,4730,3240,2539,3849,94367,363239
POLONNARUWA,58842,7768,2877,69487,58842,7737,2870,69449,4383,4935,3696,4416,61434,271313
BADULLA,10718,10022,5026,25766,10718,10007,5026,25751,3677,4051,2855,3662,21889,80152
MONARAGALA,9454,11767,14407,35628,9446,11741,14386,35573,4913,4429,3058,4003,34861,139548
RATNAPURA,4683,6687,3271,14641,4683,6662,3253,14598,5292,3262,2578,3761,12409,46666
KEGALLE,-,742,6389,7131,-,741,6386,7127,-,3674,3571,3581,6676,23909
SRI_LANKA,369091,206524,236986,812601,368698,204541,234627,807866,4011,3493,2969,3554,722501,2696040
final,estimate,,,,,,,,,,,,,
