District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,103,129,660,892,91,120,577,788,3534,3628,2872,3064,670,2054
GAMPAHA,1341,1917,2242,5500,738,1496,1949,4183,4031,2957,3178,3250,3556,11555
KALUTARA,98,817,4161,5076,98,762,3882,4742,3075,2926,2838,2857,4375,12502
KANDY,3647,1488,723,5858,3647,1465,705,5817,3428,3060,3953,3399,4599,15632
MATALE,3390,990,241,4621,3366,922,204,4492,5524,4572,3996,5259,4040,21247
NUWARAELIYA,263,1224,-,1487,263,1224,-,1487,2390,2784,-,2715,838,2274
GALLE,20,537,2776,3333,15,380,2275,2670,2672,3199,2983,3012,2090,6295
MATARA,3876,2804,4626,11306,2806,2098,3846,8750,3577,3048,3100,3240,6908,22383
HAMBANTOTA,27955,3974,773,32702,27645,3858,692,32195,5877,5019,3632,5726,28129,161070
JAFFNA,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MANNAR,909,16,-,925,902,13,-,915,5527,4634,-,5514,873,4815
VAVUNIYA,1514,850,-,2364,1509,809,-,2318,5662,4807,-,5363,2187,11730
MULATIVU,4581,713,-,5294,4581,681,-,5262,5116,4846,-,5081,4965,25228
KILLINOCHCHI,9469,112,-,9581,9469,112,-,9581,5183,5159,-,5183,8502,44063
BATTICALOA,20773,4673,1998,27444,18847,3832,1826,24505,3568,4538,3067,3683,21627,79649
AMPARA,53948,1855,252,56055,53349,1524,244,55117,5407,4559,3989,5377,52675,283226
TRINCOMALEE,15252,3123,-,18375,15252,2847,-,18099,5194,3823,-,4978,16814,83700
KURUNEGALA,9591,15801,13756,39148,9252,12749,8763,30764,4716,4073,3191,4015,30763,123518
PUTTALAM,5002,2864,594,8460,4624,2091,446,7161,5632,2292,2771,4479,6087,27262
ANURADHAPURA,18936,14458,18,33412,18236,13837,18,32091,5271,4920,3870,5119,25805,132103
POLONNARUWA,56471,5153,-,61624,56419,5010,-,61429,5522,5392,-,5511,54340,299468
BADULLA,8072,3171,27,11270,7845,3116,27,10988,5471,4262,2152,5120,9340,47817
MONARAGALA,7786,5940,420,14146,7478,5356,353,13187,5549,4670,2936,5122,12924,66200
RATNAPURA,3585,3159,605,7349,3567,3065,552,7184,5665,4177,3106,4834,6106,29516
KEGALLE,-,728,1956,2684,-,638,1647,2285,-,3015,2831,2882,2140,6168
SRI_LANKA,256582,76496,35828,368906,249999,68005,28006,346010,5243,4324,3107,4896,310353,1519475
