District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,37,295,924,1257,37,295,915,1247,3145,2755,2422,2522,1060,2673
GAMPAHA,1436,1466,1911,4813,1389,1420,1904,4713,3615,2736,2585,2934,4006,11753
KALUTARA,64,1243,5599,6906,64,1243,5598,6906,2475,2639,2518,2539,6370,16175
GALLE,24,203,3830,4057,24,203,3823,4050,3919,2657,2663,2670,3169,8461
MATARA,3074,2614,5643,11331,3074,2610,5610,11294,4170,3242,3203,3475,8916,30986
RATNAPURA,2186,4856,1422,8465,2185,4853,1419,8457,5568,3522,2867,3941,7188,28329
KEGALLE,-,1562,3162,4725,-,1543,3118,4661,-,2926,2712,2783,4367,12150
KURUNEGALA,11660,23105,17696,52461,11657,22989,17653,52300,4280,3679,3104,3619,52300,189281
PUTTALAM,5986,5021,526,11533,5796,4851,506,11154,4266,3468,2881,3856,9481,36558
KANDY,3749,2854,1856,8459,3749,2843,1846,8439,4922,2814,2543,3691,6673,24633
MATALE,5000,3794,524,9318,4999,3780,514,9292,5197,4092,2828,4617,8356,38580
NUWARAELIYA,385,1439,8,1832,385,1439,8,1832,3973,2990,2681,3196,1033,3300
BADULLA,8723,4724,37,13485,8723,4724,37,13485,5064,3302,3510,4443,11462,50922
MONARAGALA,8223,6037,1085,15346,8223,6013,1083,15319,4146,3255,2719,3696,15013,55482
JAFFNA,-,-,-,-,-,-,-,-,-,-,-,-,,
KILLINOCHCHI,5795,30,-,5825,5795,30,-,5825,5641,3609,-,5630,5169,29102
VAVUNIYA,2195,3067,7,5270,2195,3067,7,5270,4962,4712,2578,4813,4972,23930
MULATIVU,2946,950,-,3896,2946,950,-,3896,5290,5033,-,5227,3676,19215
MANNAR,861,1388,-,2248,861,1388,-,2248,5357,5904,-,5694,2147,12225
ANURADHAPURA,23682,23103,104,46888,23674,23073,104,46850,4607,3961,2578,4284,37672,161406
POLONNARUWA,55296,7207,-,62503,55296,7207,-,62503,4788,4245,-,4725,55290,261263
TRINCOMALEE,18041,4861,110,23012,18041,4861,110,23012,4774,4748,2578,4758,21379,101718
BATTICALOA,21878,3719,1960,27556,21878,3719,1960,27556,4570,4564,5045,4603,24321,111943
AMPARA,61696,2529,178,64403,61657,2517,178,64352,4842,4696,3609,4833,61502,297229
HAMBANTOTA,20108,4833,955,25896,20062,4833,955,25850,5166,4550,3425,4987,22585,112623
UDA_WALAWE,11994,-,-,11994,11994,-,-,11994,6198,-,-,6198,11754,72844
MAHAWELI_H,14134,-,-,14134,14134,-,-,14134,4865,-,-,4865,12676,61670
SRI_LANKA,289175,110900,47538,447613,288840,110450,47347,446637,4841,3860,2994,4408,402534,1774452
