District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,102,972,3577,4651,100,967,3558,4625,3070,2684,2702,2706,3931,10639
GAMPAHA,1928,3298,7814,13041,1924,3295,7812,13032,3401,3221,2910,3061,11077,33905
KALUTARA,130,2167,12727,15024,130,2151,12723,15005,3098,3020,2898,2917,13842,40382
KANDY,4164,5738,3926,13828,4155,5508,3193,12856,3699,3106,2394,3121,10167,31730
MATALE,6360,8664,4790,19814,6321,8488,4756,19565,4204,3216,3477,3599,17595,63319
NUWARAELIYA,1100,4287,197,5584,1100,4276,196,5572,4094,3786,3786,3847,3140,12077
GALLE,88,142,16466,16697,88,142,16442,16673,3888,3888,2955,2968,13048,38731
MATARA,3725,3301,8899,15925,3203,3160,8152,14515,3737,3417,3393,3474,11460,39811
HAMBANTOTA,29686,4789,1609,36084,29487,4449,1524,35460,6120,4175,3818,5779,30982,179043
JAFFNA,-,-,9221,9221,-,-,8636,8636,-,-,2659,2659,7664,20381
KILLINOCHCHI,11670,597,7957,20224,6232,510,5462,12204,3106,2992,2553,2854,10830,30907
MANNAR,9882,1766,45,11693,9289,1660,43,10992,4157,3158,2788,4001,10495,41990
VAVUNIYA,3632,9445,612,13689,3144,8876,571,12591,4359,4095,3616,4139,11880,49171
MULATIVU,3681,4112,2960,10753,2157,2855,1765,6778,2472,2450,2444,2456,6395,15703
BATTICALOA,22439,2415,34665,59520,7049,45,7330,14424,2345,2485,2450,2399,12731,30539
AMPARA,59170,2514,9136,70819,33549,1243,4890,39682,3516,2386,2321,3333,37924,126409
TRINCOMALEE,17484,5615,7231,30331,14109,4615,4467,23191,2444,2364,2235,2388,21544,51451
KURUNEGALA,15652,35592,30020,81263,15474,35137,29596,80206,3581,3324,3177,3319,80206,266234
PUTTALAM,7489,10493,2271,20253,7004,10198,2171,19373,3951,3495,3331,3641,16467,59959
ANURADHAPURA,54339,48752,10022,113113,51813,45176,8599,105587,4998,4071,3281,4463,84903,378939
POLONNARUWA,60379,2819,2198,65396,55404,2600,2142,60145,3892,3704,2399,3831,53204,203822
BADULLA,11075,10742,5915,27733,10651,10758,5766,27175,3636,3407,2594,3324,23099,76787
MONARAGALA,9589,9269,11729,30587,9580,9236,11729,30544,5379,3946,3111,4077,29934,122027
RATNAPURA,5014,7379,4202,16595,5014,7256,4191,16461,5231,2753,2795,3519,13992,49242
KEGALLE,-,2689,5523,8212,-,2688,5511,8199,-,3622,2686,2993,7681,22985
SRI_LANKA,338778,187559,203713,730050,276978,175288,161225,613492,4241,3516,2917,2994,544189,1996184
