District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,43,715,2726,3484,43,714,2725,3482,2904,3449,3435,3431,2960,10156
GAMPAHA,1667,3505,5982,11154,1577,3479,5918,10974,3963,3725,3419,3594,9329,33529
KALUTARA,118,2165,10737,13020,118,2165,10709,12992,3516,3756,3622,3644,11984,43668
KANDY,4123,5445,2567,12135,4119,5430,2516,12065,4937,3885,3689,4203,9540,40102
MATALE,6848,8689,4828,20365,6679,8573,4748,20000,5105,4227,4570,4602,17986,82768
NUWARAELIYA,1144,4074,19,5237,1137,4054,19,5210,4415,3526,2722,3717,2936,10912
GALLE,85,603,12442,13130,85,603,12411,13099,3922,3438,3751,3738,10252,38317
MATARA,3784,3280,7383,14447,3688,3275,7341,14304,4590,4319,4080,4266,11294,48184
HAMBANTOTA,19836,5783,1556,27175,19679,5764,1552,26995,6507,5517,3698,6134,23586,144681
JAFFNA,_,_,10038,10038,_,_,9829,9829,_,_,3096,3096,8722,27000
MANNAR,14203,3065,53,17321,13862,3007,50,16919,5540,5283,3596,5489,16154,88661
VAVUNIYA,4147,10901,1793,16841,4138,10882,1785,16805,5212,4828,3823,4816,15856,76363
MULATIVU,6020,4083,4510,14613,5975,4083,4498,14556,3643,3439,2816,3330,13734,45739
KILLINOCHCHI,10778,490,12407,23675,9922,488,10762,21172,3779,3142,3632,3689,18788,69319
BATTICALOA,19898,3324,37792,61014,15172,2850,32844,50866,2686,2642,2689,2686,44895,120570
AMPARA,63072,3983,16078,83133,60146,3821,14965,78932,4420,3292,2906,4078,75435,307661
TRINCOMALEE,18733,8045,7692,34470,15111,7186,5921,28218,4808,4072,4106,4473,26213,117256
KURUNEGALA,16282,36247,26846,79375,15702,35065,26341,77108,4255,3458,3425,3609,77108,278269
PUTTALAM,7857,10399,1860,20116,6982,9582,1726,18290,4185,3977,3675,4028,15546,62620
ANURADHAPURA,31747,53288,14779,99814,28576,49148,13943,91667,5095,4844,4049,4802,73710,353924
POLONNARUWA,66727,6445,1594,74766,66447,6445,1594,74486,5343,5157,4360,5306,65891,349625
BADULLA,10984,10183,5890,27057,10980,10179,5887,27046,5183,4298,4776,4761,22989,109463
MONARAGALA,7790,10351,17897,36038,7736,10231,17850,35817,4276,4453,3607,3993,35100,140155
RATNAPURA,2197,6595,2959,11751,2197,6584,2955,11736,5126,3701,3528,3924,9975,39147
KEGALLE,_,2178,4062,6240,_,2160,4022,6182,_,3733,3923,3857,5791,22335
UDA_WALAWE,12366,_,_,12366,12366,_,_,12366,6425,_,_,6425,12119,77867
MAHAWELI_H,23851,_,_,23851,23851,_,_,23851,6484,_,_,6484,21390,138696
SRI_LANKA,354300,203836,214490,772626,336288,195768,202911,734967,4997,4235,3478,4364,659283,2876987
