District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,187,56,667,910,56,187,663,906,3196,3195,2931,3002,771,2314
GAMPAHA,1056,1184,1331,3571,1182,1051,1325,3558,3744,3148,2912,3258,3024,9854
KALUTARA,1053,72,6107,7232,72,1053,6091,7216,2693,2585,2362,2398,6656,15960
KANDY,2008,3053,497,5558,3053,1876,460,5389,3942,3460,2389,3642,4217,15358
MATALE,2936,2100,602,5638,2001,2681,478,5160,4442,3200,3246,3686,4075,15018
NUWARAELIYA,968,159,17,1144,159,964,16,1139,3569,3014,2699,3087,641,1980
GALLE,6,4,4202,4212,4,6,4167,4177,3075,3075,3075,3075,3269,10051
MATARA,2730,3015,6731,12476,3010,2728,6296,12034,3602,2845,2875,3050,9501,28977
HAMBANTOTA,3726,16691,986,21403,16608,3255,662,20525,5208,3905,2642,4919,17933,88203
JAFFNA,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MANNAR,6,2195,-,2201,1850,-,-,1850,3759,3638,-,3759,1642,6171
VAVUNIYA,417,739,-,1156,444,300,-,744,3964,3527,-,3788,711,2692
MULATIVU,500,2088,-,2588,2082,500,-,2582,3638,3391,-,3590,2443,8772
KILLINOCHCHI,15,5756,-,5771,4797,11,-,4808,4033,3609,-,4032,4537,18293
BATTICALOA,2444,19123,2320,23887,19123,2444,2320,23887,4031,3735,3665,3965,21083,83599
AMPARA,1807,58474,583,60864,57503,1671,575,59749,4772,3625,3617,4729,57103,270027
TRINCOMALEE,1412,14695,-,16107,14573,1373,-,15946,4473,4260,-,4455,14813,65988
KURUNEGALA,17416,8914,15187,41517,4776,6360,4017,15153,4252,3119,2880,3413,15153,51712
PUTTALAM,2400,3496,445,6341,3145,1138,183,4466,3881,2897,2707,3582,3797,13600
ANURADHAPURA,10062,16506,-,26568,14304,7796,-,22100,4241,3696,-,4049,17771,71951
POLONNARUWA,2559,50893,-,53452,43396,2118,-,45514,4252,3119,-,4199,40262,169071
BADULLA,3898,7744,34,11676,7672,3784,34,11490,4534,3563,2585,4208,9766,41101
MONARAGALA,5653,6790,1025,13468,6598,4520,590,11708,4781,2919,2677,3956,11474,45392
RATNAPURA,5378,2046,2319,9743,1982,5102,2038,9122,4499,3307,2776,3447,7753,26729
KEGALLE,1002,-,1880,2882,-,819,1456,2275,-,2864,2652,2728,2131,5814
UDA_WALAWE,-,11644,-,11644,11644,-,-,11644,5052,-,-,5052,9898,50004
MAHAWELI_H,-,12533,-,12533,2172,-,-,2172,5316,-,-,5316,1948,10355
SRI_LANKA,69639,249970,44933,364542,222206,51737,31371,305314,4497,3351,2849,4145,272370,1128984
