District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,787,87,2741,3615,87,782,2734,3603,2957,2957,3018,3004,3063,9200
GAMPAHA,2061,1665,4380,8106,1665,2061,4369,8095,3680,3439,3257,3390,6881,23329
KALUTARA,2034,126,10712,12872,126,2027,10709,12863,3033,2513,2969,2898,11866,34387
GALLE,65,-,13054,13120,-,63,13020,13084,-,3013,2997,2997,10239,30684
MATARA,3233,3785,8705,15722,3616,3231,8691,15538,4167,3624,3405,3628,12268,44501
RATNAPURA,6466,1977,3535,11978,1975,6401,3464,11840,5118,3099,2555,3277,10064,32980
KEGALLE,2447,-,5171,7617,-,2446,5164,7610,-,3449,3338,3374,7129,24051
KURUNEGALA,20370,7411,21134,48916,7005,19259,20253,46516,4477,3467,3270,3534,46516,164376
PUTTALAM,6838,7221,1199,15258,6661,7018,1152,14831,4037,3382,3086,3653,12606,46053
KANDY,3326,3713,2223,9262,3714,3279,2192,9185,4160,3158,3082,3545,7263,25747
MATALE,3316,2562,528,6406,2533,3132,499,6163,4117,3386,2842,3642,5543,20188
NUWARAELIYA,2176,656,52,2884,653,2154,51,2858,3070,2867,2867,2913,1611,4692
BADULLA,3693,4419,56,8168,4419,3498,56,7973,5352,3829,3829,4673,6777,31671
MONARAGALA,3718,4369,253,8341,4101,3138,86,7325,3937,3274,3274,3645,7179,26167
JAFFNA,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KILLINOCHCHI**,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VAVUNIYA,211,42,-,253,30,179,-,209,4430,3924,-,3998,197,789
MULATIVU**,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MANNAR**,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ANURADHAPURA,6122,12040,65,18226,11881,5837,63,17781,4431,4415,4415,4426,14297,63275
POLONNARUWA,1774,35089,-,36862,34859,1724,-,36583,4750,4473,-,4737,32362,153302
TRINCOMALEE,1376,12574,0,13950,12572,1376,0,13947,4864,4726,4726,4851,12957,62850
BATTICALOA,2255,13309,1510,17073,12376,2134,1510,16020,4262,4555,3071,4189,14140,59227
AMPARA,1075,44981,171,46227,44082,1053,168,45303,4994,3895,3895,4964,43296,214941
HAMBANTOTA,3010,17768,1127,21905,17734,3002,1117,21853,5264,4226,3227,5017,19093,95799
UDA_WALAWE,-,12188,-,12188,11944,-,-,11944,6105,-,-,6105,11705,71457
MAHAWELI_H,-,6481,-,6481,6481,-,-,6481,4821,-,-,4821,5812,28020
SRI_LANKA,76734,192080,76617,345431,188512,73796,75298,337606,4816,3566,3144,4186,302863,1267684
