District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,256,558,2050,2864,256,558,2050,2864,3699,3496,3506,3521,2434,8571
GAMPAHA,1544,3277,4893,9714,1461,3231,4871,9563,4423,4156,4240,4240,8128,34460
KALUTARA,107,1304,8145,9556,107,1303,8080,9490,3644,3523,3660,3641,8756,31876
KANDY,4201,4797,2006,11004,4200,4793,2000,10993,5777,3229,4432,4422,8694,38440
MATALE,6877,7076,4505,18458,6846,7044,4496,18386,5415,5162,5406,5316,16534,87897
NUWARAELIYA,420,1310,5,1735,420,1310,5,1735,3605,3607,4034,3608,977,3525
GALLE,205,1448,6296,7949,205,1448,6286,7939,4000,3845,4011,3980,6213,24728
MATARA,3898,2767,5081,11746,3855,2697,5044,11596,4628,3553,3498,3886,9155,35581
HAMBANTOTA,28003,5827,1148,34978,27970,5821,1142,34933,6568,5478,3992,6302,30521,192353
JAFFNA,_,_,10445,10445,_,_,10291,10291,_,_,3628,3628,9132,33135
MANNAR,15289,3999,79,19367,15289,3999,79,19367,4880,4651,3447,4827,18492,89263
VAVUNIYA,4366,12406,2469,19241,4360,12292,2465,19117,4699,5034,4982,4951,18036,89294
MULATIVU,7579,4355,6325,18259,7579,4355,6325,18259,4711,4806,4452,4644,17228,80008
KILLINOCHCHI,12088,553,14524,27165,12088,553,14524,27165,3778,3329,4505,4158,24106,100224
BATTICALOA,24476,3811,38709,66996,20161,3518,37565,61244,3824,4059,3735,3783,54055,204489
AMPARA,59732,4448,15237,79417,58060,4123,14611,76794,4986,3965,4107,4764,73392,349626
TRINCOMALEE,20399,6887,10999,38285,20399,6887,10999,38285,4752,4418,3647,4375,35567,155592
KURUNEGALA,17945,37748,26785,82478,17871,37501,26639,82011,5733,4748,4036,4732,82011,388043
PUTTALAM,7905,11022,1637,20564,7359,10718,1511,19588,4711,4629,4526,4652,16649,77449
ANURADHAPURA,54056,52287,12559,118902,53756,52058,12514,118328,6215,5118,4716,5574,95148,530356
POLONNARUWA,56959,7431,2626,67016,56734,7326,2534,66594,5341,6272,4305,5404,58909,318352
BADULLA,10572,9730,5339,25641,10572,9730,5339,25641,4501,4532,3986,4405,21795,96017
MONARAGALA,8963,10888,14505,34356,8619,10721,14313,33653,6324,4688,3955,4796,32981,158159
RATNAPURA,3904,4716,2136,10756,3902,4708,2127,10737,6096,4781,3964,5097,9127,46521
KEGALLE,_,1559,3797,5356,_,1553,3785,5338,_,4167,4718,4558,5001,22793
SRI_LANKA,349744,200204,202300,752248,342069,198247,199595,739911,4883,4385,4139,4531,663041,3196752
