District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,119,1010,3635,4764,119,1010,3634,4763,3466,3352,3549,3505,4048,14190
GAMPAHA,1826,3116,7592,12534,1822,3097,7545,12464,3506,3455,3436,3451,10595,36560
KALUTARA,133,2206,13030,15369,133,2194,12963,15289,3425,3373,3178,3208,14105,45245
GALLE,-,151,17005,17156,-,151,16991,17142,-,4356,3276,3286,13415,44078
MATARA,3703,3303,8902,15908,3653,3298,8861,15811,3993,3604,3510,3641,12483,45455
RATNAPURA,2102,7171,4213,13485,2102,7171,4213,13485,4559,3124,3030,3318,11463,38034
KEGALLE,-,2706,5631,8337,-,2704,5628,8331,-,3804,3785,3791,7805,29589
KURUNEGALA,11735,28540,28483,68758,11735,28190,28098,68023,4838,4026,3704,4033,68023,274343
PUTTALAM,3984,8380,2051,14415,3945,8299,1991,14236,4456,3866,3462,3973,12100,48075
KANDY,4138,5754,3945,13837,4138,5751,3936,13826,4314,3109,3112,3470,10934,37943
MATALE,6375,9025,4848,20248,6294,8962,4832,20088,5034,4046,4619,4494,18065,81175
NUWARAELIYA,1119,4265,202,5586,1119,4263,202,5583,4217,4113,4113,4134,3146,13007
BADULLA,10903,10302,5819,27023,10897,10289,5802,26988,5081,4069,3356,4324,22940,99203
MONARAGALA,9659,8406,9294,27360,9659,8406,9294,27360,5218,4159,3807,4413,26812,118331
JAFFNA,-,-,8948,8948,-,-,8703,8703,-,-,2605,2605,7723,20117
KILLINOCHCHI,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VAVUNIYA,1634,2868,328,4830,1633,2868,328,4830,5275,5362,5873,5367,4557,24457
MULATIVU,883,1298,-,2180,846,1298,-,2144,5316,5316,-,5316,2023,10753
MANNAR,7412,681,-,8093,7412,681,-,8093,5403,5403,-,5403,7727,41755
ANURADHAPURA,29894,43667,7901,81463,29874,43358,7831,81063,5357,4786,4030,4924,65183,320937
POLONNARUWA,55804,2883,1626,60312,55800,2876,1625,60301,5414,4681,3820,5336,53342,284628
TRINCOMALEE,15253,4759,6524,26535,15238,4759,6524,26521,4595,4340,3712,4332,24638,106727
BATTICALOA,21619,2465,30771,54855,21095,2463,30771,54329,4233,4104,3886,4031,47951,193274
AMPARA,59285,2301,8275,69861,59265,2301,8275,69840,5563,4490,4210,5368,66746,358274
HAMBANTOTA,19724,4774,1600,26098,19641,4772,1599,26012,5465,4401,4052,5183,22726,117793
UDA_WALAWE,13068,-,-,13068,13068,-,-,13068,6275,-,-,6275,12807,80361
MAHAWELI_H,25012,-,-,25012,25012,-,-,25012,6476,-,-,6476,22431,145263
SRI_LANKA,305383,160031,180623,646037,304503,159160,179643,643306,5325,4208,3616,4583,573788,2629566
