District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,171,39,669,879,39,171,668,878,3250,3250,3377,3346,746,2498
GAMPAHA,112,446,1849,2407,446,112,1837,2395,3297,2714,3800,3656,2035,7441
KALUTARA,1111,44,5981,7135,44,1102,5968,7114,2838,3446,2990,3060,6562,20079
GALLE,36,-,5834,5871,-,36,5803,5840,-,3169,3263,3262,4570,14908
MATARA,3055,3259,7031,13345,3184,2970,6964,13118,4104,3804,3493,3712,10357,38441
RATNAPURA,4116,1819,1502,7437,1816,4030,1474,7320,5059,3760,3203,3970,6222,24701
KEGALLE,1261,-,3898,5159,-,1233,3815,5049,-,3210,3317,3291,4730,15566
KURUNEGALA,9132,8415,11182,28729,8406,6371,8003,22780,4704,3024,3340,3755,22780,85542
PUTTALAM,1945,3152,223,5320,3152,1844,219,5215,4403,3811,3247,4145,4433,18373
KANDY,2252,3766,2139,8157,3728,2230,2096,8054,4725,2993,3407,3903,6369,24856
MATALE,2171,2855,559,5585,2836,2135,555,5526,4661,3699,2635,4086,4969,20304
BADULLA,2997,7693,15,10705,7693,2997,15,10705,4939,3874,3874,4639,9099,42214
MONARAGALA,3498,5103,325,8926,5103,3496,324,8923,4534,4166,4166,4377,8744,38269
KILLINOCHCHI,121,3440,-,3561,3405,120,-,3526,3542,2538,-,3507,3129,10974
VAVUNIYA,179,407,-,586,407,178,-,585,4505,4312,-,4446,552,2453
MULATIVU,162,1295,405,1862,1282,160,397,1839,3883,3125,3641,3765,1735,6532
MANNAR,22,821,-,843,812,22,-,835,4251,3234,-,4224,797,3366
ANURADHAPURA,3331,11286,19,14635,11281,3324,19,14623,4953,4301,4301,4804,11759,56492
POLONNARUWA,1633,47925,-,49558,47914,1626,-,49540,5065,4817,-,5057,43823,221598
TRINCOMALEE,442,9925,-,10368,9925,442,-,10368,4386,4156,-,4376,9632,42147
BATTICALOA,219,2450,36,2705,1906,198,36,2141,3680,3680,3680,3680,1890,6955
AMPARA,1456,52332,-,53787,52210,1423,-,53633,5025,3841,-,4993,51257,255935
HAMBANTOTA,2872,17302,749,20923,17214,2841,716,20771,5038,4770,3261,4940,18148,89652
UDA_WALAWE,-,9381,-,9381,9381,-,-,9381,5641,-,-,5641,9193,51855
MAHAWELI_H,-,11440,-,11440,11440,-,-,11440,5136,-,-,5136,10259,52690
SRI_LANKA,43878,205047,42450,291375,204079,40641,38943,283663,4915,3776,3320,4543,254955,1158148
