District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,105,2114,2398,4617,105,2114,2397,4616,3564,3504,3450,3477,3924,13644
GAMPAHA,1530,2513,6290,10333,1530,2513,6290,10333,3565,3479,3416,3453,8783,30332
KALUTARA,115,2094,11942,14151,114,2094,11866,14074,3518,3452,3350,3367,12983,43713
KANDY,4158,5522,3619,13299,4158,5494,3044,12697,5042,3864,3530,4169,10040,41863
MATALE,6234,8308,4635,19177,6234,8290,4561,19086,4947,4117,4101,4384,17164,75244
NUWARAELIYA,1073,4212,197,5482,1073,4206,196,5475,4227,3967,3539,4002,3085,12348
GALLE,88,109,15771,15968,88,109,15720,15917,3891,3766,3426,3431,12457,42740
MATARA,3621,3156,8419,15196,3620,3153,8404,15177,4028,3615,3505,3653,11982,43767
HAMBANTOTA,20546,4652,1561,26759,19917,4627,1557,26102,5450,4546,3921,5198,22805,118551
JAFFNA,-,-,8755,8755,-,-,8668,8668,-,-,2680,2680,7692,20611
KILLINOCHCHI,10207,179,10490,20876,10176,178,10124,20478,3313,3136,2803,3059,18172,55591
MANNAR,11730,1667,19,13416,11730,1667,19,13416,5012,3312,2830,4798,12810,61459
VAVUNIYA,3719,10824,1451,15994,3716,10664,1332,15713,4461,3912,3091,3972,14825,58888
MULATIVU,5546,2580,1601,9727,5546,2580,1593,9720,3082,2904,2835,2994,9171,27460
BATTICALOA,22300,2403,34767,59470,22300,2288,27527,52115,4130,3853,3402,3733,45996,171715
AMPARA,59562,2938,9377,71877,59562,2938,9377,71877,5284,4366,3596,5026,68693,345264
TRINCOMALEE,17198,5622,7341,30161,17198,5622,7341,30160,4822,4630,3582,4484,28019,125644
KURUNEGALA,11019,25654,25948,62621,10992,24090,21636,56718,4957,3805,3557,3934,56718,223110
PUTTALAM,4688,6996,1497,13181,4565,6366,1158,12089,4548,3843,3605,4087,10275,41991
ANURADHAPURA,31168,48277,9808,89253,31168,48260,9437,88865,5194,5044,3970,4982,71456,356020
POLONNARUWA,59426,2862,2224,64512,59401,2862,2224,64487,5150,4624,3960,5086,57045,290130
BADULLA,11043,10658,5851,27552,11043,10383,5794,27221,5042,4337,3823,4514,23138,104433
MONARAGALA,7728,9299,14958,31985,7728,9299,14958,31986,5210,4117,3855,4258,31346,133486
RATNAPURA,2027,7025,3896,12948,2027,7014,3891,12933,4544,3165,3117,3367,10993,37011
KEGALLE,-,2415,4688,7103,-,2395,4657,7052,-,3772,3555,3629,6606,23970
UDAWALAWE,13447,-,-,13447,13447,-,-,13447,6399,-,-,6399,13178,84318
MAHAWELI_H,24215,-,-,24215,24215,-,-,24215,6155,-,-,6155,21716,133657
SRI_LANKA,332493,172079,197503,702075,331655,169208,183773,684636,5081,4246,3477,4444,611074,2716961
