District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,43,628,2225,2896,43,624,2221,2888,2696,3685,3351,3414,2455,8381
GAMPAHA,1617,3207,5165,9989,1617,3201,5165,9983,3778,3943,3813,3849,8485,32661
KALUTARA,129,1861,9746,11736,128,1860,9734,11722,3548,3223,3381,3358,10814,36314
KANDY,4132,5167,2448,11747,4132,5160,2441,11733,4471,3275,3600,3764,9279,34921
MATALE,6729,8253,4876,19858,6725,8239,4760,19724,4696,4343,4330,4460,17738,79115
NUWARAELIYA,995,3854,17,4866,995,3854,17,4866,3828,3770,3160,3779,2742,10365
GALLE,66,480,9628,10174,66,471,9581,10118,3200,2334,2994,2965,7919,23476
MATARA,3338,2730,6032,12100,3206,2645,5997,11848,4118,3661,4196,4055,9353,37932
HAMBANTOTA,20552,5845,1451,27848,19957,5776,1395,27128,5728,4995,2735,5418,23702,128424
JAFFNA,0,0,10252,10252,0,0,8389,8389,0,0,2352,2352,7445,17511
MANNAR,15408,3236,54,18698,15376,3234,54,18664,5030,4862,4227,4999,17821,89079
VAVUNIYA,4134,11315,2029,17478,4134,11315,2029,17478,4188,4456,4171,4359,16491,71889
MULATIVU,7299,4390,4357,16046,6719,4225,2471,13415,3714,3608,3396,3622,12658,45851
KILLINOCHCHI,11273,344,12551,24168,11273,344,12551,24168,4004,3772,3925,3959,21446,84913
BATTICALOA,20891,3006,38091,61988,18152,2801,35448,56401,2992,2774,3057,3022,49779,150434
AMPARA,61986,3804,15196,80986,61773,3783,15196,80752,4671,4456,3641,4467,77174,344765
TRINCOMALEE,18444,8641,7613,34698,18014,8636,7570,34220,4833,4459,4071,4570,31790,145279
KURUNEGALA,15521,37432,27825,80778,15506,37384,27735,80625,4912,4087,3754,4131,80625,333062
PUTTALAM,7835,10298,1957,20090,7638,10024,1908,19570,4219,3847,3883,3996,16634,66466
ANURADHAPURA,29203,52935,14116,96254,29106,52658,14101,95865,5112,4666,4303,4748,77085,365988
POLONNARUWA,56832,6649,1721,65202,56774,6628,1721,65123,5109,5026,3443,5056,57608,291274
BADULLA,11075,10442,5772,27289,11075,10442,5772,27289,4821,4197,3502,4303,23195,99813
MONARAGALA,9271,10423,17989,37683,9271,10409,17976,37656,4516,4249,3207,3817,36902,140855
RATNAPURA,2120,6289,2754,11163,2119,6269,2737,11125,4801,3764,3421,3877,9456,36660
KEGALLE,-,1772,3985,5757,-,1757,3956,5713,-,4500,3681,3933,5352,21046
UDA_WALAWE,12224,-,-,12224,12224,-,-,12224,5907,-,-,5907,11979,70757
MAHAWELI_H,24037,-,-,24037,24037,-,-,24037,6284,-,-,6284,21556,135462
SRI_LANKA,345154,203001,207850,756005,340060,201739,200925,742724,4878,4280,3522,4349,667483,2902693
