District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,286,327,1908,2521,253,319,1776,2348,2606,2795,2372,2455,1996,4899
GAMPAHA,1811,2777,5366,9954,1114,2442,4936,8492,3389,3118,2838,2991,7218,21588
KALUTARA,163,1408,8195,9766,162,1360,7907,9429,2012,2696,3130,3048,8698,26515
KANDY,3936,3124,2218,9278,3934,3109,2213,9256,2579,3077,3411,2945,7320,21559
MATALE,7001,4486,856,12343,6997,4473,855,12325,5102,4063,3860,4639,11084,51415
NUWARAELIYA,490,2082,1,2573,490,2082,1,2573,4658,3745,-,3917,1450,5680
GALLE,100,989,7459,8548,97,953,7276,8326,2734,1894,3030,2897,6515,18873
MATARA,4316,3316,6450,14082,4218,3250,6394,13862,3977,3869,3489,3727,10944,40787
HAMBANTOTA,28735,4662,1093,34490,28735,4662,1093,34490,6051,4902,3464,5814,30134,175190
JAFFNA,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MANNAR,2210,530,-,2740,2210,522,-,2732,5182,3864,-,4931,2608,12860
VAVUNIYA,2136,2876,-,5012,2136,2866,-,5002,5381,5829,-,5638,4719,26606
MULATIVU,5875,1508,-,7383,5875,1508,-,7383,5322,5152,-,5287,6966,36832
KILLINOCHCHI,9961,110,-,10071,9961,110,-,10071,4634,3308,-,4620,8937,41288
BATTICALOA,22103,4401,1998,28502,22103,4401,1998,28502,4591,4709,5388,4665,25156,117353
AMPARA,59755,2468,637,62860,59682,2468,626,62776,5247,4785,5277,5229,59995,313708
TRINCOMALEE,20223,4501,515,25239,20223,4501,515,25239,5257,5306,5311,5267,23447,123491
KURUNEGALA,15650,31749,21174,68573,15601,31442,20945,67988,4667,3897,3736,4024,67988,273572
PUTTALAM,8194,9200,1208,18602,7808,8568,1115,17491,4474,3554,3326,3950,14868,58728
ANURADHAPURA,40880,20703,521,62104,40870,20626,521,62017,4789,4546,2765,4691,49868,233948
POLONNARUWA,56994,5632,-,62626,56994,5405,-,62399,5483,4995,-,5441,55199,300317
BADULLA,7855,4186,57,12098,7855,4186,57,12098,4996,5260,5135,5088,10284,52327
MONARAGALA,7972,7090,790,15852,7959,7018,782,15759,6096,4060,2965,5034,15444,77752
RATNAPURA,4023,4916,1834,10773,4017,4907,1819,10743,4873,3808,3296,4119,9131,37617
KEGALLE,-,1466,4011,5477,-,1463,3997,5460,-,3197,2915,2991,5115,15297
SRI_LANKA,310669,124507,66291,501467,309294,122641,64826,496761,4526,4018,3650,4309,445084,2088202
