District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,66,899,2800,3765,65,896,2765,3726,2641,3874,3468,3551,3167,11248
GAMPAHA,1665,3501,5480,10646,1665,3500,5471,10636,2753,3075,3392,3188,9041,28817
KALUTARA,96,2162,10486,12744,96,2158,10437,12691,2808,2636,2973,2915,11707,34125
GALLE,98,656,11949,12703,98,656,11856,12610,3838,3576,3656,3653,9869,36054
MATARA,3581,3235,7074,13890,3570,3222,7055,13847,3966,4044,3765,3882,10932,42438
RATNAPURA,2082,6757,3064,11903,2082,6742,3051,11875,4397,4318,3231,4053,10094,40905
KEGALLE,-,2099,3989,6088,-,2066,3880,5946,3568,3225,3344,5570,18629,
KURUNEGALA,11973,24623,24542,61138,11851,22725,20904,55480,4518,4188,3665,4062,55480,225332
PUTTALAM,4673,7942,1329,13944,4592,7073,923,12588,4298,3957,3832,4072,10700,43571
KANDY,4111,5393,2522,12026,4107,5244,2472,11823,5056,3732,3709,4187,9350,39150
MATALE,6771,7765,4042,18578,6538,7174,3377,17089,4003,4268,3201,3956,15368,60792
NUWARAELIYA,914,4091,26,5031,914,4085,26,5025,4228,4444,4084,4403,2832,12468
BADULLA,11119,10935,5583,27637,11117,10689,2936,24742,5816,4106,4084,4872,21031,102456
MONARAGALA,7592,10051,17171,34814,7534,8942,7161,23637,5078,4082,2660,3969,23164,91936
JAFFNA,-,-,10180,10180,-,-,2624,2624,-,-,1547,1547,2329,3602
KILLINOCHCHI,10728,480,11689,22897,9789,162,3447,13398,4272,3064,4118,4218,11889,50149
VAVUNIYA,1401,5965,1011,8377,951,4190,331,5472,3944,3348,2626,3408,5163,17595
MULATIVU,5345,3286,4166,12797,4079,1690,617,6386,2724,2434,1853,2563,6025,15443
MANNAR,3874,1412,27,5313,3672,1294,23,4989,5208,5429,2810,5254,4763,25027
ANURADHAPURA,22210,19990,10589,52789,21370,13625,4653,39648,4223,3873,2477,3898,31881,124275
POLONNARUWA,54824,5968,1408,62200,54805,5554,987,61346,4795,5228,3861,4819,54267,261525
TRINCOMALEE,13584,5146,7403,26133,13308,3632,4817,21757,4885,4607,4846,4830,20212,97630
BATTICALOA,20911,3127,38166,62204,20911,3127,38166,62204,3581,2021,2801,3024,54901,166010
AMPARA,62665,3881,15394,81940,62435,3577,12969,78981,5280,4045,3215,4885,75482,368748
HAMBANTOTA,20021,5423,1438,26882,20014,5262,1403,26679,5806,5053,4571,5592,23309,130352
UDA_WALAWE,12029,-,-,12029,12029,-,-,12029,5811,-,-,5811,11788,68500
MAHAWELI_H,22641,-,-,22641,22629,-,-,22629,5868,-,-,5868,20294,119074
SRI_LANKA,304974,144787,201528,651289,300221,127285,152351,579857,4781,4018,3236,4222,520608,2235851
