District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,48,506,1688,2242,48,506,1687,2241,3527,3479,3422,3437,1905,6546
GAMPAHA,1418,2561,3953,7932,735,1715,2548,4998,2266,3479,3556,3340,4248,14187
KALUTARA,98,1386,7354,8838,98,1384,7352,8834,3061,3481,3588,3565,8149,29051
KANDY,3548,3618,1394,8560,3536,3540,1224,8300,5142,4054,3105,4377,6563,28730
MATALE,4818,2792,1739,9349,4608,2571,869,8048,4807,4200,3974,4523,7237,32734
NUWARAELIYA,995,3316,11,4322,995,3316,11,4322,3631,3977,3893,3897,2435,9490
GALLE,66,263,7789,8118,66,244,7777,8087,3477,3481,3546,3543,6328,22423
MATARA,3411,2823,5345,11579,3380,2817,5312,11509,4767,4687,4413,4584,9087,41652
HAMBANTOTA,17858,3161,992,22011,17703,3084,963,21750,5387,4943,3787,5253,19003,99825
JAFFNA,_,_,10049,10049,_,_,1830,1830,_,_,2021,2021,1624,3283
MANNAR,11586,2949,30,14565,11211,2652,_,13863,4543,2968,_,4242,13236,56149
VAVUNIYA,2845,6854,1316,11015,2622,2640,139,5401,4395,4307,3688,4334,5095,22083
MULATIVU,7226,4504,3932,15662,3594,1316,857,5767,3231,2166,3020,2957,5441,16087
KILLINOCHCHI,11352,434,13170,24956,9838,304,4921,15063,4106,3331,3778,3983,13366,53241
BATTICALOA,20104,3397,39335,62836,17788,2609,16469,36866,3078,2709,1880,2516,32537,81878
AMPARA*,62222,3667,15569,81458,59214,1507,7016,67737,5074,3226,2681,4785,64736,309733
TRINCOMALEE,16131,5753,7352,29236,15127,2601,647,18375,4579,3307,3380,4356,17071,74365
KURUNEGALA,10235,17599,18954,46788,8180,6933,3368,18481,5014,4061,4373,4540,18481,83898
PUTTALAM,4678,5356,1502,11536,3961,2273,543,6777,4005,3022,3380,3625,5761,20885
ANURADHAPURA,12610,15784,9459,37853,11643,7704,389,19736,4827,4295,4248,4608,15870,73127
POLONNARUWA*,43672,5175,774,49621,42034,5175,573,47782,5198,4271,3747,5080,42268,214722
BADULLA,9914,6955,2924,19793,9793,6811,1405,18009,4936,4072,2265,4401,15308,67366
MONARAGALA,6135,6546,12999,25680,5974,4900,1751,12625,4589,3437,3007,3922,12371,48526
RATNAPURA,1853,4370,1732,7955,1851,4247,1651,7749,4978,3471,2843,3697,6587,24353
KEGALLE,_,1168,2523,3691,_,686,1159,1845,_,4057,3960,3996,1728,6906
UDA_WALAWE,1206,_,_,1206,1206,_,_,1206,5085,_,_,5085,1182,6010
MAHAWELI_H,5705,_,_,5705,5655,_,_,5655,5241,_,_,5241,5072,26582
SRI_LANKA,259734,110937,171885,542556,240860,71535,70461,382856,4770,3860,3102,4301,342689,1473832
