District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,130,202,843,1175,130,202,842,1174,2724,3481,3289,3259,997,3250
GAMPAHA,1383,2102,2678,6163,1244,2004,2518,5766,3193,2532,3759,3210,4901,15735
KALUTARA,96,891,5191,6178,96,887,5125,6108,3271,3098,3019,3034,5634,17096
KANDY,2214,2666,1509,6389,2213,2630,1489,6332,5247,3672,3564,4197,5007,21014
MATALE,3760,3591,616,7967,3753,3458,502,7713,4788,4510,3209,4561,6936,31633
NUWARAELIYA,488,2027,7,2522,487,2012,6,2505,4317,3977,3007,4041,1411,5703
GALLE,6,767,3172,3945,6,766,3172,3944,2708,3275,3188,3204,3087,9893
MATARA,3996,2972,5255,12223,3965,2945,5152,12062,4717,3399,3478,3866,9523,36814
HAMBANTOTA,18959,4632,1180,24771,18919,4596,1180,24695,6735,5113,2948,6252,21577,134904
JAFFNA,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MANNAR,479,-,-,479,479,-,-,479,4777,-,-,4777,457,2185
VAVUNIYA,293,157,-,450,283,126,-,409,4045,3994,-,4029,386,1557
MULATIVU,1235,400,-,1635,1235,400,-,1635,4116,4257,-,4151,1543,6403
KILLINOCHCHI,948,-,-,948,948,-,-,948,4773,-,-,4773,841,4016
BATTICALOA,19159,4498,1998,25655,19159,4498,1998,25655,4338,3555,3099,4104,22643,92926
AMPARA,41981,1912,369,44262,39658,1900,369,41927,4878,4256,3769,4840,40070,193924
TRINCOMALEE,17291,3054,8,20353,17291,3054,8,20353,5100,4399,3259,4994,18909,94434
KURUNEGALA,11239,21515,17507,50261,10916,19355,16559,46830,5208,3663,3311,3899,46830,182575
PUTTALAM,5352,6870,779,13001,5182,6234,665,12081,4634,4504,3848,4524,10269,46454
ANURADHAPURA,15434,5666,141,21241,15213,4916,121,20250,5696,3957,3831,5262,16283,85691
POLONNARUWA,55651,5907,1,61559,54192,5672,1,59865,5080,4974,3777,5070,52957,268472
BADULLA,7364,3414,32,10810,7364,3403,32,10799,4953,4078,3395,4673,9179,42893
MONARAGALA,6044,6065,711,12820,5901,6009,668,12578,3872,3678,2070,3684,12326,45405
RATNAPURA,2040,4163,1090,7293,2040,4146,1079,7265,4393,4107,3130,4042,6176,24963
KEGALLE,-,1387,3276,4663,-,1377,3245,4622,-,3267,3063,3124,4330,13527
UDA_WALAWE,10518,-,-,10518,10518,-,-,10518,6560,-,-,6560,10307,67617
MAHAWELI_H,16482,-,-,16482,16453,-,-,16453,5681,-,-,5681,14755,83821
SRI_LANKA,242542,84858,46363,373763,237645,80590,44731,362966,5192,3991,3273,4683,327334,1532905
