District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,747,52,2555,3354,52,747,2550,3349,3004,3010,3040,3033,2846,8632
GAMPAHA,903,1027,6472,8402,926,853,6311,8091,3079,2912,3171,3134,6878,21551
KALUTARA,1801,79,10631,12511,74,1628,9728,11431,3217,3025,3194,3170,10545,33424
GALLE,144,-,12251,12395,-,144,12226,12370,-,3418,3418,3418,9681,33088
MATARA,2845,3034,7297,13176,3034,2533,7291,12858,4337,3811,3382,3692,10151,37477
RATNAPURA,5987,1904,3245,11136,1904,5952,3237,11092,4348,3382,2678,3342,9429,31512
KEGALLE,2144,-,6089,8233,-,2144,6084,8228,-,3255,3103,3143,7708,24223
KURUNEGALA,32799,12699,26233,71731,12683,32519,24533,69736,4739,4163,3500,4035,69736,281367
PUTTALAM,6337,5568,673,12579,5309,5940,525,11774,4274,3735,3383,3962,10008,39652
KANDY,4958,3894,3189,12042,3894,4955,3189,12039,5083,2678,3639,3710,9520,35322
MATALE,7020,4745,3516,15281,4745,6975,3469,15189,4147,3820,3576,3866,13660,52813
NUWARAELIYA,4194,1020,121,5335,1020,4190,121,5331,4369,3244,3210,3459,3004,10390
BADULLA,8637,10398,3231,22266,10397,8632,3231,22260,5060,3993,3599,4434,18921,83899
MONARAGALA,7614,6657,9273,23544,6646,7611,8814,23071,4904,3944,3598,4089,22609,92439
JAFFNA,-,-,6918,6918,-,-,6257,6257,-,-,2141,2141,5552,11886
KILLINOCHCHI,469,6589,9430,16488,5731,408,8206,14345,3542,2538,3246,3344,12729,42569
VAVUNIYA,3248,692,125,4064,690,3242,120,4052,4499,4306,3924,4327,3823,16542
MULATIVU,2014,3795,3760,9568,3561,1974,3699,9235,3883,3125,3641,3624,8713,31575
MANNAR,837,4830,-,5668,4637,805,-,5442,3924,3584,-,3874,5196,20130
ANURADHAPURA,29947,24853,2761,57562,24853,29876,2760,57490,5067,4567,3377,4726,46228,218485
POLONNARUWA,1591,47846,1128,50565,47837,1590,1106,50533,5143,4821,4514,5119,44701,228835
TRINCOMALEE,1575,11537,3175,16287,11527,1575,2824,15926,4386,4156,3809,4261,14796,63039
BATTICALOA,194,6651,11623,18469,5108,55,9522,14685,3480,2697,2577,2891,12961,37476
AMPARA,1155,46825,3823,51803,46823,1154,3770,51747,5029,4263,3970,4934,49454,244031
HAMBANTOTA,4003,17305,1012,22320,16834,3983,1059,21875,5429,4743,3591,5215,19112,99677
UDA_WALAWE,-,9460,-,9460,9460,-,-,9460,5636,-,-,5636,9270,52243
MAHAWELI_H,-,24183,-,24183,24183,-,-,24183,5563,-,-,5563,21687,120653
SRI_LANKA,131164,255643,138531,525338,251929,129485,130634,512047,4950,4025,3296,4299,458919,1972930
