District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,510,79,2067,2656,79,510,2067,2656,3523,3769,3059,3209,2258,7244
GAMPAHA,2196,1636,3996,7828,1634,2187,3989,7810,3994,3529,3648,3687,6638,24475
KALUTARA,1879,133,10014,12025,131,1874,9930,11935,2248,2842,2657,2682,11010,29527
GALLE,55,85,11593,11732,85,54,11546,11685,3509,3398,2937,2943,9144,26912
MATARA,3278,3700,8596,15574,3683,3237,8547,15467,3823,3263,3297,3415,12211,41703
RATNAPURA,6299,2148,3017,11463,2147,6290,3011,11449,4795,3149,2475,3280,9731,31922
KEGALLE,2322,-,4894,7216,-,2321,4889,7209,-,2923,2810,2846,6754,19222
KURUNEGALA,23836,9160,23685,56682,9160,23664,23562,56386,4305,4083,3782,3993,56386,225159
PUTTALAM,4962,4270,1344,10576,3962,4395,1079,9436,3700,3396,3773,3567,8021,28608
KANDY,3419,3725,2978,10121,3725,3409,2969,10103,4187,3166,3250,3567,7989,28502
MATALE,4815,5227,677,10719,5227,4815,676,10718,4993,3690,3163,4292,9639,41370
NUWARAELIYA,2292,673,65,3030,673,2223,64,2960,4474,4456,2604,4420,1668,7373
BADULLA,4571,8019,75,12665,8019,4571,75,12665,5016,3558,3279,4480,10765,48224
MONARAGALA,6067,6797,1152,14016,6795,6009,1079,13884,5093,3537,2392,4210,13606,57277
JAFFNA,-,-,-,-,-,-,-,-,-,-,-,-,-,
KILLINOCHCHI,23,1445,-,1468,1445,23,-,1468,2581,2465,-,2579,1303,3360
VAVUNIYA,332,502,-,834,502,325,-,827,5014,4277,-,4724,780,3685
MULATIVU,111,1072,-,1183,1050,100,-,1150,3888,3764,-,3877,1085,4207
MANNAR,-,600,-,600,600,-,-,600,3909,-,-,3909,573,2240
ANURADHAPURA,8590,14204,92,22887,14199,8516,92,22808,5140,4477,3766,4887,18340,89625
POLONNARUWA,2395,55906,-,58301,55906,2395,-,58300,5121,4474,-,5095,51572,262738
TRINCOMALEE,1086,12030,-,13116,12013,1046,-,13059,4869,4670,-,4853,12132,58879
BATTICALOA,2580,17999,322,20901,17992,2580,322,20894,4051,3725,3869,4008,18441,73906
AMPARA,1656,57516,83,59255,57457,1656,83,59196,4903,3996,4408,4877,56574,275913
HAMBANTOTA,3539,19460,1256,24255,19460,3529,1255,24244,5338,4373,3730,5114,21182,108332
UDA_WALAWE,-,14317,-,14317,14317,-,-,14317,6526,-,-,6526,14030,91555
MAHAWELI_H,-,15824,-,15824,15824,-,-,15824,5574,-,-,5574,14191,79097
SRI_LANKA,86812,256527,75905,419244,256085,85729,75236,417050,4983,3815,3258,4444,376024,1671054
