District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,319,586,2314,3219,319,586,2314,3219,3060,4134,3095,3281,2736,8976
GAMPAHA,1768,3545,5131,10444,1655,3429,4916,10000,3980,3491,3233,3445,8500,29283
KALUTARA,167,1588,9898,11653,167,1571,9854,11592,3643,3175,3409,3380,10694,36149
KANDY,3703,3059,2075,8837,3700,3047,2056,8803,5370,3046,3374,4099,6961,28536
MATALE,5076,2759,386,8221,5076,2751,382,8209,5396,4487,4169,5034,7382,37161
NUWARAELIYA,824,3579,3,4406,824,3579,3,4406,6174,4131,2439,4512,2483,11201
GALLE,299,2080,9172,11551,293,1949,8673,10915,2221,3050,2810,2837,8542,24233
MATARA,4348,3282,6283,13913,4168,3213,6118,13499,3855,3491,3425,3573,10658,38084
HAMBANTOTA,28626,4574,967,34167,28624,4570,967,34161,6207,5132,3474,5986,29846,178647
JAFFNA,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MANNAR,1594,16,-,1610,1594,16,-,1610,5390,3543,-,5372,1537,8259
VAVUNIYA,392,1077,4,1473,392,1076,4,1472,6294,5246,3124,5520,1388,7663
MULATIVU,4392,1069,-,5461,4392,1069,-,5461,5312,4468,-,5147,5152,26514
KILLINOCHCHI,9963,71,-,10034,9963,71,-,10034,5268,2695,-,5250,8904,46742
BATTICALOA,22466,4491,1998,28955,22466,4479,1998,28943,4523,4794,4774,4582,25545,117059
AMPARA,58634,2253,408,61295,58169,2131,408,60708,5017,4843,3796,5003,58018,290263
TRINCOMALEE,18500,3344,268,22112,18500,3344,268,22112,5475,4304,3010,5268,20542,108222
KURUNEGALA,13933,25135,19059,58127,13894,24293,18344,56531,4954,4348,4039,4397,56531,248546
PUTTALAM,7067,7094,1021,15182,6970,6505,788,14263,4818,3934,3526,4343,12123,52656
ANURADHAPURA,28235,10721,378,39334,28198,10685,375,39258,5181,4326,3828,4936,31567,155805
POLONNARUWA,56805,5568,-,62373,56805,5342,-,62147,5238,5313,-,5244,54975,288314
BADULLA,7869,3782,12,11663,7868,3759,12,11639,5317,4255,4556,4973,9893,49200
MONARAGALA,7733,5943,724,14400,7691,5806,688,14185,5294,4646,3089,4922,13902,68422
RATNAPURA,3953,5188,2321,11462,3931,5113,2280,11324,6073,3696,3109,4403,9626,42382
KEGALLE,-,1749,4565,6314,-,1730,4522,6252,-,3816,3699,3731,5857,21855
SRI_LANKA,286666,102553,66987,456206,285659,100114,64970,450743,4959,4098,3499,4552,403362,1924172
