District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,39,249,1021,1309,39,242,1021,1302,2675,2874,2118,2275,1106,2516
GAMPAHA,1388,1371,1833,4592,1382,1362,1832,4576,3390,3164,3213,3252,3889,12648
KALUTARA,99,1373,6324,7796,99,1373,6283,7755,2726,3627,3478,3495,7153,25000
KANDY,3880,2940,1732,8552,3880,2934,1731,8545,4039,3334,3300,3647,6757,24643
MATALE,5390,4089,707,10186,5385,4071,696,10152,4695,3774,2893,4202,9130,38362
NUWARAELIYA,507,1647,3,2157,507,1647,3,2157,3787,3992,2967,3943,1215,4792
GALLE,12,304,5378,5694,10,299,4816,5125,2636,2241,2674,2649,4011,10626
MATARA,3709,3108,6838,13655,3290,2906,6505,12701,4529,3406,3726,3861,10027,38709
HAMBANTOTA,20302,4800,1200,26302,19722,4741,1163,25626,5523,4846,2901,5279,22389,118190
JAFFNA,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MANNAR,1500,1476,-,2976,1480,1318,-,2798,4904,5009,-,4954,2672,13236
VAVUNIYA,2118,3598,6,5722,2107,3541,6,5654,4882,4567,2941,4683,5334,24978
MULATIVU,4351,2618,-,6969,4351,2618,-,6969,4512,4586,-,4540,6575,29848
KILLINOCHCHI,6806,48,-,6854,6806,48,-,6854,4646,2957,-,4634,6083,28189
BATTICALOA,21587,3509,1915,27011,21536,3509,1915,26960,4834,4686,4779,4811,23795,114470
AMPARA,62051,2379,1543,65973,62046,2379,1543,65968,4924,4812,4327,4906,63046,309335
TRINCOMALEE,17570,3821,903,22294,17483,3821,903,22207,4820,4867,2761,4745,20631,97884
KURUNEGALA,14559,29517,18573,62649,14550,29086,17682,61318,4640,3381,2971,3562,61319,218402
PUTTALAM,7227,7333,767,15327,7221,7220,731,15172,4142,3591,2844,3817,12896,49227
ANURADHAPURA,24617,25766,15,50398,24604,25483,15,50102,4928,4308,3172,4612,40287,185818
POLONNARUWA,55532,6590,13,62135,55385,6401,13,61799,5140,5054,4427,5131,54668,280476
BADULLA,8766,4278,30,13074,8766,4278,30,13074,4766,3840,2979,4459,11112,49547
MONARAGALA,8258,6389,768,15415,8258,6378,767,15403,4359,3676,3053,4011,15095,60550
RATNAPURA,2092,4796,1423,8311,2092,4783,1415,8290,4823,3250,3486,3688,7046,25984
KEGALLE,-,1376,3347,4723,-,1364,3314,4678,-,3402,3452,3437,4382,15063
UDA_WALAWE,12524,-,-,12524,12524,-,-,12524,6062,-,-,6062,12273,74400
MAHAWELI_H,18064,-,-,18064,18064,-,-,18064,5526,-,-,5526,16200,89515
SRI_LANKA,302948,123375,54339,480662,301587,121802,52384,475773,4978,3967,3245,4527,429091,1942408
