District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,580,63,1621,2263,63,578,1616,2257,2138,2252,2506,2431,1918,4663
GAMPAHA,347,819,2321,3487,793,347,2268,3408,3369,3261,2441,2741,2897,7938
KALUTARA,1678,75,9726,11479,73,1668,9705,11446,2437,2444,2316,2335,10559,24656
GALLE,72,-,9342,9414,-,61,9275,9336,-,3499,2783,2788,7306,20369
MATARA,2803,3637,7676,14115,3628,2801,7673,14103,4060,3295,2794,3219,11134,35843
RATNAPURA,5733,1815,2828,10375,1815,5687,2814,10316,3961,2928,2621,3026,8769,26532
KEGALLE,1880,-,5894,7774,-,1877,5873,7750,-,3127,3062,3078,7260,22346
KURUNEGALA,17850,9271,17841,44961,9068,15010,12695,36773,3867,2763,2532,2955,36773,108670
PUTTALAM,3009,2522,396,5927,2414,2827,392,5634,3869,3065,2998,3405,4789,16304
KANDY,2685,3828,2338,8852,3827,2647,2300,8774,4657,2494,2691,3489,6938,24208
MATALE,2774,2144,450,5368,2140,2703,434,5276,3257,3275,2519,3205,4745,15210
NUWARAELIYA,1452,444,37,1932,435,1422,36,1893,2962,2881,3812,2917,1067,3112
BADULLA,3099,8273,22,11394,8273,3099,22,11394,4551,3457,3457,4251,9685,41170
MONARAGALA,2371,3622,121,6114,3620,2342,121,6082,3951,3377,2988,3711,5961,22121
JAFFNA,-,-,-,-,-,-,-,-,-,-,-,-,,
KILLINOCHCHI,42,5347,-,5389,4685,39,-,4724,3599,3350,-,3597,4192,15078
VAVUNIYA,701,616,16,1332,616,699,16,1330,3873,3981,3981,3931,1255,4934
MULATIVU,478,1836,205,2519,1787,461,194,2442,3780,4037,3316,3792,2304,8737
MANNAR,135,958,-,1093,939,132,-,1071,4141,3815,-,4101,1023,4194
ANURADHAPURA,7150,17126,18,24294,17126,7117,18,24261,4316,4018,3331,4228,19508,82477
POLONNARUWA,1840,48025,-,49865,48017,1812,-,49829,4778,4315,-,4761,44079,209846
TRINCOMALEE,1552,14769,-,16321,13542,1552,-,15095,4447,4615,-,4464,14023,62603
BATTICALOA,1261,15458,-,16719,15455,1253,-,16707,3418,3854,-,3451,14746,50882
AMPARA,1436,54705,183,56324,54703,1436,183,56322,4775,4452,4452,4766,53827,256551
HAMBANTOTA,2269,13559,805,16633,13485,2210,798,16492,4357,3449,2916,4166,14409,60028
UDA_WALAWE,-,9190,-,9190,9190,-,-,9190,5166,-,-,5166,9006,46529
MAHAWELI_H,-,13479,-,13479,13466,-,-,13466,4843,-,-,4843,12077,58481
SRI_LANKA,63195,231578,61840,356613,229158,59781,56434,345373,4478,3253,2654,3976,310250,1233484
