District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,84,805,2879,3767,84,805,2879,3767,3889,3214,3571,3502,3202,11212
GAMPAHA,1211,1239,6910,9360,1211,1238,6879,9328,4298,3502,3353,3495,7929,27714
KALUTARA,109,1991,11376,13476,109,1991,11376,13476,2585,2979,2870,2884,12431,35847
GALLE,-,111,14568,14679,-,108,14543,14652,-,3608,3186,3190,11466,36572
MATARA,3587,3029,8248,14865,3587,3025,8230,14842,4184,3961,3730,3887,11718,45546
RATNAPURA,1840,6386,3799,12025,1821,6313,3772,11906,4222,3228,2992,3305,10120,33449
KEGALLE,-,2470,5016,7486,-,2331,4844,7174,-,3507,3866,3749,6721,25198
KURUNEGALA,15223,32043,28085,75351,15223,32005,28014,75243,4439,3773,3585,3838,75243,288764
PUTTALAM,4538,6441,1305,12284,4536,6265,1248,12050,4114,3649,3742,3834,10242,39269
KANDY,4136,5530,3811,13476,4136,5528,3788,13453,4714,3294,3412,3764,10639,40040
MATALE,6181,8416,4522,19119,6021,8360,4497,18878,4544,3122,3054,3559,16977,60427
NUWARAELIYA,1191,4224,212,5627,1191,4224,212,5627,4343,3818,3818,3929,3171,12458
BADULLA,10771,10097,4464,25331,10770,10055,4463,25288,4610,3870,3355,4094,21495,88002
MONARAGALA,6859,7690,11279,25827,6829,7615,10970,25415,4484,4109,3607,3993,24906,99446
JAFFNA,-,-,7566,7566,-,-,7248,7248,-,-,2887,2887,6432,18568
VAVUNIYA,1752,4285,384,6422,1752,4265,384,6402,4275,3327,3327,3587,6040,21663
MULATIVU,2873,1335,2388,6596,2586,1202,2149,5937,3867,3094,3094,3430,5601,19215
MANNAR,4410,484,-,4894,2301,380,-,2681,3707,3234,-,3640,2559,9317
ANURADHAPURA,28061,39691,4965,72717,27590,39013,4917,71520,4769,4110,3339,4311,57509,247941
POLONNARUWA,51502,2429,1598,55529,51275,2388,1576,55240,4947,4529,3927,4900,48865,239437
TRINCOMALEE,12910,2407,3670,18987,10615,2371,3606,16592,4599,4397,3730,4381,15414,67534
BATTICALOA,9380,389,9366,19134,7661,341,9028,17030,4035,3390,3353,3661,15030,55020
AMPARA,57966,1692,4832,64490,57949,1692,4794,64435,4966,4090,3909,4864,61580,299533
HAMBANTOTA,18799,4048,1387,24234,18751,3928,1328,24007,4866,4645,3643,4762,20975,99879
UDA_WALAWE,9527,-,-,9527,9527,-,-,9527,5661,-,-,5661,9336,52855
MAHAWELI_H,24178,-,-,24178,24178,-,-,24178,5501,-,-,5501,21682,119285
SRI_LANKA,284371,147716,149510,581597,275530,145880,146938,568348,4803,3812,3357,4181,508338,2125170
