District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,296,760,2127,3183,296,760,2127,3183,3487,3245,3529,3458,2705,9354
GAMPAHA,1549,3505,5594,10648,1469,3485,5562,10516,3931,4177,3495,3782,8939,33805
KALUTARA,143,1412,9529,11084,143,1410,9486,11039,3532,3497,3325,3349,10184,34107
KANDY,4214,4825,1996,11035,4214,4802,1826,10842,4714,3484,2824,3851,8574,33019
MATALE,6944,6421,3515,16880,6900,6179,2887,15966,4268,5165,4685,4690,14359,67348
NUWARAELIYA,851,3825,29,4705,851,3824,29,4704,4034,3276,3978,3417,2651,9058
GALLE,201,2126,8448,10775,201,2126,8398,10725,3319,2458,3111,2986,8393,25059
MATARA,4091,3233,6164,13488,4087,3210,6150,13447,4152,3617,3678,3808,10617,40425
HAMBANTOTA,27585,5851,1259,34695,27585,5851,1259,34695,5956,5479,3115,5773,30313,174989
JAFFNA,_,_,10424,10424,_,_,8964,8964,_,_,2055,2055,7955,16345
MANNAR,15368,3958,79,19405,14512,3665,48,18225,4722,3565,3544,4487,17401,78071
VAVUNIYA,2491,8588,1826,12905,2412,5941,450,8803,4396,4133,4488,4223,8305,35071
MULATIVU,7902,4757,7126,19785,6560,3809,4342,14711,4643,3406,3425,3963,13879,55005
KILLINOCHCHI,11418,553,14789,26760,11407,553,12508,24468,4536,4566,3903,4213,21713,91484
BATTICALOA,22656,3625,38515,64796,22656,3625,38515,64796,3838,3062,2670,3100,57189,177289
AMPARA,61028,4582,15683,81293,60974,4392,10958,76324,4803,3296,3730,4562,72943,332767
TRINCOMALEE,20463,8040,10449,38952,20463,7626,9918,38007,4895,3104,3162,4083,35308,144171
KURUNEGALA,11791,16442,19383,47616,11691,13914,16936,42541,5324,4466,3754,4418,42541,187951
PUTTALAM,2093,2996,791,5880,2051,2588,540,5179,3806,4517,3821,4163,4402,18322
ANURADHAPURA,23519,28352,7687,59558,23051,21436,3214,47701,4942,3996,3416,4414,38357,169316
POLONNARUWA,54997,7572,2834,65403,54515,7371,2791,64677,5055,3688,3850,4848,57214,277349
BADULLA,5908,9628,4716,20252,5906,9600,4008,19514,5199,4114,3616,4340,16587,71989
MONARAGALA,9104,10439,16830,36373,9086,10069,10572,29727,4984,4281,3234,4123,29131,120120
RATNAPURA,2102,5369,2529,10000,2102,5345,2509,9956,4289,3542,2825,3519,8462,29775
KEGALLE,_,1757,4036,5793,_,1744,3980,5724,_,4301,4403,4372,5363,23443
UDA_WALAWE,10492,_,_,10492,10492,_,_,10492,6355,_,_,6355,10282,65345
MAHAWELI,15011,_,_,15011,15002,_,_,15002,5645,_,_,5645,13454,75949
SRI_LANKA,322217,148616,196358,667191,318626,133325,167977,619928,4956,3976,3274,4302,557221,2396926
