District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,287,382,2211,2880,287,382,2211,2880,3114,2187,2093,2207,2448,5412
GAMPAHA,1744,2891,5215,9850,1744,2887,5205,9836,2604,2681,2352,2493,8360,20844
KALUTARA,136,1505,9124,10765,136,1502,9023,10661,3618,2593,2267,2330,9834,22915
KANDY,4135,3437,2518,10090,4135,3437,2517,10089,3469,3188,2881,3227,7978,25743
MATALE,6525,5064,1127,12716,6520,5045,1118,12683,2723,2904,2419,2768,11406,31577
NUWARAELIYA,638,2233,2,2873,638,2231,2,2871,4310,3530,4022,3704,1618,5993
GALLE,203,1685,8727,10615,202,1654,8566,10422,2077,2039,2227,2194,8155,17896
MATARA,4021,3165,6135,13321,3811,3143,6118,13072,2984,2502,2690,2730,10320,28178
HAMBANTOTA,28270,3927,834,33031,28250,3920,833,33003,4833,3523,2252,4612,28834,132995
JAFFNA,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MANNAR,1845,430,-,2275,1844,430,-,2274,3575,2781,-,3425,2171,7435
VAVUNIYA,2416,3069,-,5485,2409,3047,-,5456,4563,4215,-,4368,5147,22485
MULATIVU,5008,1883,-,6891,5008,1883,-,6891,3358,4092,-,3558,6501,23132
KILLINOCHCHI,10258,75,-,10333,10258,70,-,10328,2951,2038,-,2945,9164,26985
BATTICALOA,22260,4438,1998,28696,22260,4438,1998,28696,2970,2974,2672,2950,25327,74720
AMPARA,60016,2299,371,62686,60002,2273,369,62644,3746,2887,2602,3708,59869,221999
TRINCOMALEE,19599,4443,449,24491,19599,4443,449,24491,4143,3441,4723,4026,22752,91605
KURUNEGALA,14206,22765,19859,56830,14193,22660,19728,56581,2827,2835,2669,2775,56580,157003
PUTTALAM,5939,6543,926,13408,5930,6462,916,13308,3232,2351,2515,2755,11312,31158
ANURADHAPURA,37267,22127,524,59918,37249,22071,512,59832,3375,3073,1628,3248,48111,156283
POLONNARUWA,53098,5538,-,58636,53095,5536,-,58631,4306,4123,-,4288,51865,222414
BADULLA,7676,4888,30,12594,7676,4887,30,12593,3190,3598,3661,3349,10704,35851
MONARAGALA,7809,6775,987,15571,7797,6691,949,15437,4060,3022,868,3414,15129,51654
RATNAPURA,4163,5307,2140,11610,4142,5270,2110,11522,4341,2960,2411,3356,9793,32865
KEGALLE,-,1719,4385,6104,-,1713,4375,6088,-,2562,2542,2548,5704,14533
SRI_LANKA,297519,116588,67562,481669,297185,116075,67029,480289,3494,3004,2605,3207,429082,1461675
