District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,24,224,698,946,23,218,667,908,2584,2627,2755,2720,772,2099
GAMPAHA,887,656,1185,2728,830,598,1168,2596,3368,2621,2203,2672,2206,5895
KALUTARA,102,974,4709,5785,102,941,4592,5635,3123,3065,3263,3228,5199,16778
KANDY,3645,1979,653,6277,3645,1943,631,6219,5013,3084,2559,4162,4918,20468
MATALE,3520,1732,205,5457,3339,1628,171,5138,4435,4054,3319,4277,4620,19762
NUWARAELIYA,279,862,1,1142,279,862,1,1142,4152,3447,2654,3619,644,2329
GALLE,_,102,4817,4919,_,98,4752,4850,_,2692,2443,2448,3795,9291
MATARA,3626,2885,5410,11921,3554,2836,5246,11636,3841,3333,3340,3491,9188,32078
HAMBANTOTA,17090,3155,722,20967,16940,3118,714,20772,5667,4130,3073,5348,18149,97050
JAFFNA,_,_,_,_,_,_,_,_,_,_,_,_,_,_
MANNAR,_,101,_,101,_,101,_,101,_,2839,_,2839,97,274
VAVUNIYA,159,328,_,487,159,312,_,471,5321,3871,_,4361,445,1940
MULATIVU,747,187,_,934,747,158,_,905,3195,3273,_,3209,855,2742
KILLINOCHCHI,1365,64,_,1429,1287,64,_,1351,3992,4289,_,4006,1198,4801
BATTICALOA,19696,3312,1203,24211,19024,2706,481,22211,3294,4296,4006,3431,19603,67263
AMPARA,43832,2255,215,46302,43501,2221,215,45937,4279,3773,3629,4251,43902,186647
TRINCOMALEE,8031,946,_,8977,7982,908,_,8890,4861,4691,_,4843,8259,40002
KURUNEGALA,4675,4031,7118,15824,4607,2395,2726,9728,4954,2812,3219,3940,9728,38332
PUTTALAM,1161,980,322,2463,761,84,136,981,3731,5025,5048,4024,834,3356
ANURADHAPURA,5833,2410,282,8525,5726,2274,272,8272,4230,3116,3782,3909,6652,26004
POLONNARUWA,36736,4138,8,40882,36363,3861,4,40228,4943,4275,2855,4878,35585,173595
BADULLA,5122,3535,11,8668,5121,3529,11,8661,4822,3877,2886,4434,7363,32648
MONARAGALA,6046,3605,249,9900,6045,3517,165,9727,4891,3920,2604,4502,9532,42911
RATNAPURA,1857,3532,681,6070,1846,3471,643,5960,3167,3418,2733,3267,5066,16549
KEGALLE,_,544,1132,1676,_,535,1125,1660,_,2701,2951,2871,1555,4463
UDA_WALAWE,6225,_,_,6225,6225,_,_,6225,5770,_,_,5770,6101,35202
MAHAWELI_H,6307,_,_,6307,6275,_,_,6275,4770,_,_,4770,5627,26842
SRI_LANKA,176965,42537,29621,249123,174381,38378,23720,236479,4580,3681,3021,4291,211893,909321
