District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,1141,85,3367,4594,85,1141,3365,4592,2564,3426,3218,3251,3903,12687
GAMPAHA,1170,1192,7811,10173,1191,1170,7809,10170,3226,3500,3430,3408,8644,29460
KALUTARA,1938,96,11608,13642,93,1936,11581,13610,3344,2594,2913,2865,12556,35971
GALLE,175,-,14323,14498,-,174,13769,13943,-,3614,3719,3711,10912,40494
MATARA,2809,3615,8439,14862,3610,2752,8333,14695,4415,3859,3498,3785,11602,43912
RATNAPURA,6733,1899,3786,12419,1899,6627,3702,12228,4138,2895,2717,3028,10394,31472
KEGALLE,2284,-,6638,8923,-,2282,6636,8919,-,3549,3361,3403,8355,28430
KURUNEGALA,24805,11742,24874,61421,11733,24598,24163,60493,4354,3231,3354,3492,60493,211245
PUTTALAM,5133,4745,683,10561,4725,5108,677,10510,4190,3279,3626,3704,8933,33090
KANDY,5411,4034,4117,13563,4034,5394,4098,13526,4718,2777,3232,3488,10697,37309
MATALE,7147,5328,3438,15913,5328,7095,3361,15783,4568,3633,3520,3918,14194,55614
NUWARAELIYA,4406,1233,121,5760,1233,4405,121,5759,3795,4577,3178,4374,3245,14194
BADULLA,8666,10359,3087,22112,10359,8666,3087,22112,5006,3923,2771,4264,18795,80143
MONARAGALA,5762,4841,5311,15913,4795,5761,5306,15862,4539,3908,3362,3910,15545,60780
JAFFNA,-,-,7636,7636,-,-,7231,7231,-,-,2214,2214,6417,14207
KILLINOCHCHI,526,9759,9185,19470,8492,491,8129,17113,3859,3866,3047,3461,15186,52558
VAVUNIYA,5237,3039,163,8439,3017,5162,143,8322,3463,3873,1944,3685,7851,28934
MULATIVU,2697,4417,4704,11819,4172,2475,3714,10362,3704,4528,2503,3464,9776,33863
MANNAR,1388,8117,24,9529,8117,1388,24,9529,4236,4127,-,4203,9098,38240
ANURADHAPURA,32157,25693,3303,61153,25692,32050,3269,61011,4965,4272,4098,4549,49059,223169
POLONNARUWA,1682,50341,1157,53180,49785,1491,946,52222,5048,4222,3627,4992,46196,230608
TRINCOMALEE,3386,15285,6351,25022,15023,3357,6257,24637,4332,3990,2945,3927,22888,89880
BATTICALOA,1913,17598,26671,46182,17108,1897,26313,45318,2653,2895,2141,2360,39997,94394
AMPARA,2108,52458,6171,60737,51325,2053,5910,59288,4461,3893,3029,4292,56662,243191
HAMBANTOTA,3614,14251,1201,19066,13888,3590,1199,18678,4811,3614,3134,4467,16319,72893
UDA_WALAWE,-,8884,-,8884,8884,-,-,8884,5335,-,-,5335,8706,46447
MAHAWELI_H,-,25093,-,25093,25093,-,-,25093,5756,-,-,5756,22504,129523
SRI_LANKA,132288,284105,164169,580562,279682,131063,159143,569888,4615,3717,3035,3955,508925,2012706
