District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,307,727,2823,3857,307,727,2821,3855,3602,3694,3744,3723,3276,12198
GAMPAHA,1858,4062,6530,12450,1841,4038,6477,12356,4137,3838,3587,3751,10502,39390
KALUTARA,220,1681,11118,13019,220,1662,11028,12910,3273,3340,3362,3358,11910,39990
KANDY,4242,5293,2651,12186,4242,5292,2650,12184,6162,3824,4201,4720,9635,45478
MATALE,7303,7225,4380,18908,7301,7218,4363,18882,5990,5605,5237,5669,16980,96263
NUWARAELIYA,865,4004,8,4877,865,4004,8,4877,4420,5154,2872,5020,2748,13798
GALLE,255,2196,11060,13511,248,2163,10935,13346,2340,3361,3435,3403,10444,35538
MATARA,4312,3291,6511,14114,4264,3170,6495,13929,3770,3716,3401,3585,10997,39430
HAMBANTOTA,28878,4886,1148,34912,28878,4866,1146,34890,6224,4494,3197,5883,30483,179336
JAFFNA,_,_,11228,11228,_,_,8635,8635,_,_,2549,2549,7663,19530
MANNAR,16069,4057,116,20242,16062,4008,74,20144,5500,4177,3075,5228,19234,100561
VAVUNIYA,4412,12249,2715,19376,4400,12147,2715,19262,4787,4105,4050,4253,18174,77297
MULATIVU,7965,5315,9501,22781,7928,5315,9501,22744,4293,5112,3770,4266,21459,91546
KILLINOCHCHI,12171,578,14609,27358,12171,578,14609,27358,3439,3712,3542,3500,24277,84963
BATTICALOA,24514,3825,38735,67074,23698,3815,38117,65630,3810,4134,3776,3809,57925,220640
AMPARA,60673,4471,16005,81149,60426,4396,15110,79932,4996,5083,3826,4780,76391,365123
TRINCOMALEE,21161,7530,11147,39838,21161,7530,11147,39838,4450,4295,3839,4250,37009,157272
KURUNEGALA,17094,33418,25545,76057,17078,33230,25326,75634,4442,3485,3704,3775,75634,285481
PUTTALAM,8077,9672,1905,19654,7978,9409,1847,19234,4348,3218,3835,3746,16348,61240
ANURADHAPURA,51479,48058,13012,112549,51406,47959,13001,112366,5723,4786,3773,5098,90353,460585
POLONNARUWA,57596,6526,2401,66523,57596,6526,2401,66523,5259,5396,3811,5220,58846,307190
BADULLA,10535,9081,3952,23568,10535,9081,3952,23568,5334,4813,3699,4859,20033,97344
MONARAGALA,8815,10685,15400,34900,8813,10573,14828,34214,5652,4536,4019,4599,33530,154218
RATNAPURA,4074,6007,3277,13358,4074,6000,3277,13351,6033,3824,3689,4465,11348,50666
KEGALLE,_,1885,4866,6751,_,1885,4864,6749,_,4099,4188,4163,6322,26317
SRI_LANKA,352875,196722,220643,770240,351492,195592,215327,762411,4695,4242,3687,4307,681521,3061394
