District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,23,181,778,983,23,179,776,978,3171,3089,3066,3073,831,2555
GAMPAHA,1456,1575,2140,5171,1325,1567,2120,5012,3720,3124,2882,3179,4260,13542
KALUTARA,64,1160,5048,6272,64,1160,5037,6260,2589,2878,2806,2817,5775,16269
KANDY,3713,2783,1622,8118,3713,2780,1618,8110,4366,3375,2567,3667,6414,23521
MATALE,3113,2959,434,6507,3113,2828,354,6295,4623,3831,2865,4169,5661,23598
NUWARAELIYA,414,1423,2,1839,414,1423,2,1839,4084,4332,2794,4274,1036,4430
GALLE,-,161,4606,4767,-,161,4606,4767,-,2609,2739,2735,3731,10204
MATARA,2733,2884,5604,11221,2723,2856,5596,11175,4861,2883,2949,3398,8823,29982
HAMBANTOTA,18305,2623,596,21524,17724,2388,532,20644,4535,5724,2748,4627,18037,83451
JAFFNA,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MANNAR,955,771,-,1726,601,594,-,1195,3847,4094,-,3970,1141,4530
VAVUNIYA,664,893,-,1557,664,619,-,1283,4909,4075,-,4507,1210,5455
MULATIVU,284,156,-,440,284,140,-,424,3726,3445,-,3633,400,1453
KILLINOCHCHI,324,-,-,324,324,-,-,324,4238,-,-,4238,287,1217
BATTICALOA,17323,2850,109,20282,17323,2850,109,20282,4194,3805,3767,4137,17901,74062
AMPARA,41371,1742,1263,44377,41367,1730,1263,44360,4782,3395,3820,4700,42395,199265
TRINCOMALEE,7394,-,-,7394,7319,-,-,7319,4446,-,-,4446,6799,30225
KURUNEGALA,10811,29492,19296,59599,10789,27290,14508,52587,4851,3632,2077,3453,52587,181603
PUTTALAM,5397,4770,573,10741,5259,4556,492,10307,4298,3455,4337,3927,8761,34407
ANURADHAPURA,9961,7573,8,17542,9808,6360,5,16174,4868,3833,2578,4461,13005,58012
POLONNARUWA,32677,1876,-,34553,32669,1871,-,34540,4906,4826,-,4902,30554,149778
BADULLA,8629,4194,20,12843,8557,4156,18,12731,5143,3953,3038,4751,10822,51419
MONARAGALA,5050,3489,276,8814,4822,2857,90,7769,4048,3357,2682,3778,7614,28765
RATNAPURA,2078,4227,1106,7412,2078,4227,1106,7412,4591,3078,3231,3525,6300,22207
KEGALLE,-,1407,2562,3969,-,1391,2543,3934,-,2900,2689,2763,3685,10184
UDA_WALAWE,10277,-,-,10277,10277,-,-,10277,6363,-,-,6363,10071,64080
MAHAWELI_H,4727,-,-,4727,4727,-,-,4727,4887,-,-,4887,4239,20715
SRI_LANKA,187743,79189,46043,312979,185967,73983,40775,300725,4768,3663,2615,4204,272339,1144929
