District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,68,17,394,480,16,65,374,456,2702,2702,2502,2537,387,983
GAMPAHA,68,420,670,1158,409,64,628,1102,2839,2818,2526,2659,936,2490
KALUTARA,1437,22,8300,9759,22,1351,8012,9385,2910,2857,2665,2693,8657,23316
GALLE,27,-,4886,4912,-,27,4869,4895,-,4205,2720,2728,3831,10453
MATARA,2105,2929,6409,11443,2920,2105,6390,11415,3702,3324,3556,3550,9012,31996
RATNAPURA,5263,1847,2410,9520,1843,5241,2397,9482,4267,3361,2690,3368,8060,27142
KEGALLE,1432,-,4039,5471,-,1431,4037,5468,-,3340,3055,3130,5122,16030
KURUNEGALA,17221,10387,7484,35093,9868,16360,7110,33338,4291,3527,3058,3653,33338,121783
PUTTALAM,3223,3276,283,6781,3119,3194,261,6574,4257,3121,2790,3647,5588,20378
KANDY,2599,3797,1671,8067,3796,2595,1501,7893,4627,3215,3222,3895,6241,24313
MATALE,2965,3749,554,7268,3749,2965,554,7268,3925,3228,3224,3587,6536,23447
NUWARAELIYA,1430,459,34,1923,449,1401,34,1883,3229,3069,3774,3120,1061,3311
BADULLA,3121,8198,18,11337,8182,3098,18,11298,4591,3855,3949,4388,9603,42141
MONARAGALA,2398,4023,158,6579,4023,2398,158,6579,4383,3542,3516,4055,6448,26148
JAFFNA,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KILLINOCHCHI,48,5187,-,5235,4451,37,-,4488,3563,3317,-,3561,3982,14180
VAVUNIYA,428,293,-,721,291,420,-,710,4526,4367,-,4432,670,2970
MULATIVU,353,1653,749,2755,1570,335,712,2617,3742,3997,3283,3650,2469,9012
MANNAR,5,43,-,48,43,5,-,48,4100,3777,-,4067,46,185
ANURADHAPURA,5706,15472,23,21201,15428,5621,23,21072,4704,4165,4071,4560,16944,77257
POLONNARUWA,1657,46844,-,48501,46844,1657,-,48501,4909,4628,-,4899,42904,210183
TRINCOMALEE,950,10077,-,11027,9549,781,-,10330,4484,3573,-,4415,9596,42370
BATTICALOA,1079,14397,22,15498,14215,988,22,15226,3650,3623,3623,3649,13438,49031
AMPARA,1309,53667,59,55036,53653,1308,59,55021,4901,4212,4624,4884,52584,256824
HAMBANTOTA,2202,13490,756,16448,13466,2187,753,16406,4693,3615,2962,4470,14334,64069
UDA_WALAWE,-,9484,-,9484,9294,-,-,9294,5424,-,-,5424,9108,49404
MAHAWELI_H,-,13451,-,13451,13451,-,-,13451,4717,-,-,4717,12062,56901
SRI_LANKA,57095,223180,38920,319195,220651,55633,37913,314198,4645,3563,2993,4263,282960,1206317
