District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,81,440,1857,2378,80,434,1829,2343,3441,3364,2893,2999,1991,5970
GAMPAHA,1477,1455,2529,5461,1471,1453,2525,5449,3802,3488,3148,3415,4632,15820
KALUTARA,113,1808,9578,11499,113,1781,9500,11394,2596,2451,2424,2430,10510,25538
KANDY,3714,3122,2291,9127,3639,3059,2245,8943,4411,3492,2977,3737,6999,26154
MATALE,5055,4943,720,10718,4984,4908,715,10607,4839,3689,3286,4202,8374,35191
NUWARAELIYA,666,2215,65,2946,662,2195,64,2921,4302,4209,3190,4208,1645,6923
GALLE,70,24,10466,10560,70,24,10451,10545,3533,3122,2919,2924,8253,24130
MATARA,3574,3210,8617,15401,3574,3206,8592,15372,3831,3275,3086,3299,12137,40036
HAMBANTOTA,19796,4176,1367,25339,19753,4144,1363,25260,5345,4090,3633,5047,22070,111387
JAFFNA,-,-,-,-,-,-,-,-,-,-,-,-,-,
KILLINOCHCHI,6295,223,-,6518,6278,223,-,6501,2622,2434,-,2616,5769,15090
MANNAR,1767,51,-,1818,1749,50,-,1799,3873,2740,-,3842,1718,6601
VAVUNIYA,1418,2845,9,4272,1418,2845,9,4272,4752,3854,3305,4151,4043,16781
MULATIVU,2656,777,-,3433,2603,768,-,3371,3720,3498,-,3669,3180,11668
BATTICALOA,19516,1560,623,21699,19516,1560,623,21699,4132,3197,2940,4031,19152,77196
AMPARA,59303,1709,892,61904,59303,1709,892,61904,4919,3677,3360,4863,59161,287675
TRINCOMALEE,16504,2010,-,18514,16246,2010,-,18256,4807,3931,-,4710,16960,79890
KURUNEGALA,12108,31732,24779,68619,12084,31500,23874,67458,4280,3860,3358,3758,67458,253478
PUTTALAM,7718,8624,1179,17521,7621,8432,1141,17194,4133,3337,3242,3684,14614,53833
ANURADHAPURA,27980,26433,58,54471,27956,25929,58,53943,5064,4475,-,4775,43375,207127
POLONNARUWA,58810,2856,-,61666,58810,2795,-,61605,5075,4028,-,5028,54496,273981
BADULLA,8414,4738,27,13179,8414,4708,27,13149,4972,3373,2785,4395,11177,49123
MONARAGALA,6714,7187,1863,15764,6710,7041,1805,15556,4944,3719,2647,4123,15245,62853
RATNAPURA,2086,6646,3002,11734,2086,6218,2997,11301,4807,3198,2518,3315,9606,31841
KEGALLE,-,2230,4794,7024,-,2216,4787,7003,-,2956,2663,2756,6560,18077
UDA_WALAWE,13882,-,-,13882,13882,-,-,13882,6532,-,-,6532,11799,77075
MAHAWELI_H,17558,-,-,17558,17558,-,-,17558,5373,-,-,5373,15746,84603
SRI_LANKA,297275,121014,74716,493005,296580,119208,73497,489285,4896,3821,3012,4347,436672,1898040
