District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production,Source_File,Season,Year,Predicted_Production,Production_Gap,Gap_Percentage,Prediction_Accuracy,Performance
VAVUNIYA,2416.0,3069.0,0.0,5485.0,2409.0,3047.0,0.0,5456.0,4563.0,4215.0,0.0,4368.0,5147.0,22485.0,2022 Yala.csv,Yala,2022,23179.143148401065,-694.1431484010645,-3.0871387520616613,96.91286124793834,As Expected
MULATIVU,5008.0,1883.0,0.0,6891.0,5008.0,1883.0,0.0,6891.0,3358.0,4092.0,0.0,3558.0,6501.0,23132.0,2022 Yala.csv,Yala,2022,24456.391013212888,-1324.3910132128876,-5.7253631904413265,94.27463680955867,Below Expected
KILLINOCHCHI,10258.0,75.0,0.0,10333.0,10258.0,70.0,0.0,10328.0,2951.0,2038.0,0.0,2945.0,9164.0,26985.0,2022 Yala.csv,Yala,2022,31747.78515280376,-4762.785152803761,-17.64975042728835,82.35024957271165,Below Expected
BATTICALOA,22260.0,4438.0,1998.0,28696.0,22260.0,4438.0,1998.0,28696.0,2970.0,2974.0,2672.0,2950.0,25327.0,74720.0,2022 Yala.csv,Yala,2022,85897.51736984043,-11177.517369840425,-14.959204188758598,85.0407958112414,Below Expected
AMPARA,60016.0,2299.0,371.0,62686.0,60002.0,2273.0,369.0,62644.0,3746.0,2887.0,2602.0,3708.0,59869.0,221999.0,2022 Yala.csv,Yala,2022,219568.03250237438,2430.967497625621,1.0950353369274732,98.90496466307253,As Expected
TRINCOMALEE,19599.0,4443.0,449.0,24491.0,19599.0,4443.0,449.0,24491.0,4143.0,3441.0,4723.0,4026.0,22752.0,91605.0,2022 Yala.csv,Yala,2022,82079.0654982729,9525.934501727097,10.398924187246434,89.60107581275356,Above Expected
KURUNEGALA,14206.0,22765.0,19859.0,56830.0,14193.0,22660.0,19728.0,56581.0,2827.0,2835.0,2669.0,2775.0,56580.0,157003.0,2022 Yala.csv,Yala,2022,209917.61189131212,-52914.61189131212,-33.70293044802464,66.29706955197537,Below Expected
PUTTALAM,5939.0,6543.0,926.0,13408.0,5930.0,6462.0,916.0,13308.0,3232.0,2351.0,2515.0,2755.0,11312.0,31158.0,2022 Yala.csv,Yala,2022,35668.60018412997,-4510.600184129973,-14.476539521567409,85.5234604784326,Below Expected
ANURADHAPURA,37267.0,22127.0,524.0,59918.0,37249.0,22071.0,512.0,59832.0,3375.0,3073.0,1628.0,3248.0,48111.0,156283.0,2022 Yala.csv,Yala,2022,206327.7932589089,-50044.7932589089,-32.021904659437624,67.97809534056238,Below Expected
POLONNARUWA,53098.0,5538.0,0.0,58636.0,53095.0,5536.0,0.0,58631.0,4306.0,4123.0,0.0,4288.0,51865.0,222414.0,2022 Yala.csv,Yala,2022,239702.08627493706,-17288.086274937057,-7.772930784454692,92.22706921554531,Below Expected
BADULLA,7676.0,4888.0,30.0,12594.0,7676.0,4887.0,30.0,12593.0,3190.0,3598.0,3661.0,3349.0,10704.0,35851.0,2022 Yala.csv,Yala,2022,43836.174460871334,-7985.174460871334,-22.27322657909496,77.72677342090503,Below Expected
MONARAGALA,7809.0,6775.0,987.0,15571.0,7797.0,6691.0,949.0,15437.0,4060.0,3022.0,868.0,3414.0,15129.0,51654.0,2022 Yala.csv,Yala,2022,50990.06614204683,663.9338579531686,1.2853483911278285,98.71465160887217,As Expected
RATNAPURA,4163.0,5307.0,2140.0,11610.0,4142.0,5270.0,2110.0,11522.0,4341.0,2960.0,2411.0,3356.0,9793.0,32865.0,2022 Yala.csv,Yala,2022,33763.427529419205,-898.4275294192048,-2.7336909460496113,97.2663090539504,As Expected
KEGALLE,0.0,1719.0,4385.0,6104.0,0.0,1713.0,4375.0,6088.0,0.0,2562.0,2542.0,2548.0,5704.0,14533.0,2022 Yala.csv,Yala,2022,20124.400327970867,-5591.400327970867,-38.47382046357164,61.52617953642836,Below Expected
COLOMBO,388.0,638.0,3189.0,4215.0,388.0,637.0,3186.0,4211.0,2947.0,2699.0,2875.0,2855.0,3580.0,10222.0,2022-2023 Maha.csv,Maha,2022-2023,26457.786640319257,-16235.786640319257,-158.83180043356737,-58.831800433567366,Below Expected
GAMPAHA,1859.0,2144.0,8345.0,12348.0,1847.0,2127.0,8275.0,12249.0,3705.0,3516.0,3380.0,3453.0,10411.0,35911.0,2022-2023 Maha.csv,Maha,2022-2023,46767.963416790386,-10856.963416790386,-30.232974344324543,69.76702565567545,Below Expected
KALUTARA,140.0,1428.0,11580.0,13148.0,139.0,1417.0,11515.0,13071.0,2554.0,2600.0,2753.0,2735.0,12058.0,32973.0,2022-2023 Maha.csv,Maha,2022-2023,50411.05981168022,-17438.05981168022,-52.88587575191891,47.11412424808109,Below Expected
KANDY,4360.0,5673.0,3145.0,13178.0,4360.0,5669.0,3143.0,13172.0,3987.0,3629.0,3052.0,3610.0,10417.0,37603.0,2022-2023 Maha.csv,Maha,2022-2023,49119.10472022748,-11516.104720227479,-30.625494562209077,69.37450543779093,Below Expected
MATALE,7657.0,8197.0,4420.0,20274.0,7657.0,8190.0,4416.0,20263.0,4134.0,4391.0,4042.0,4218.0,18223.0,76864.0,2022-2023 Maha.csv,Maha,2022-2023,76840.15249378626,23.847506213744055,0.03102558572770615,99.9689744142723,As Expected
NUWARAELIYA,877.0,4066.0,17.0,4960.0,877.0,4059.0,17.0,4953.0,3767.0,3935.0,3858.0,3905.0,2791.0,10898.0,2022-2023 Maha.csv,Maha,2022-2023,25009.42205607693,-14111.422056076932,-129.48634663311555,-29.486346633115545,Below Expected
GALLE,0.0,223.0,12096.0,12319.0,0.0,215.0,11795.0,12010.0,0.0,2547.0,2532.0,2532.0,9400.0,23803.0,2022-2023 Maha.csv,Maha,2022-2023,42535.71178450321,-18732.71178450321,-78.69895300803769,21.30104699196231,Below Expected
