District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production,Source_File,Season,Year
POLONNARUWA,1682.0,50341.0,1157.0,53180.0,49785.0,1491.0,946.0,52222.0,5048.0,4222.0,3627.0,4992.0,46196.0,230608.0,2004 - 2005 Maha.csv,Maha,2004 - 2005
TRINCOMALEE,3386.0,15285.0,6351.0,25022.0,15023.0,3357.0,6257.0,24637.0,4332.0,3990.0,2945.0,3927.0,22888.0,89880.0,2004 - 2005 Maha.csv,Maha,2004 - 2005
BATTICALOA,1913.0,17598.0,26671.0,46182.0,17108.0,1897.0,26313.0,45318.0,2653.0,2895.0,2141.0,2360.0,39997.0,94394.0,2004 - 2005 Maha.csv,Maha,2004 - 2005
AMPARA,2108.0,52458.0,6171.0,60737.0,51325.0,2053.0,5910.0,59288.0,4461.0,3893.0,3029.0,4292.0,56662.0,243191.0,2004 - 2005 Maha.csv,Maha,2004 - 2005
HAMBANTOTA,3614.0,14251.0,1201.0,19066.0,13888.0,3590.0,1199.0,18678.0,4811.0,3614.0,3134.0,4467.0,16319.0,72893.0,2004 - 2005 Maha.csv,Maha,2004 - 2005
UDA_WALAWE,0.0,8884.0,0.0,8884.0,8884.0,0.0,0.0,8884.0,5335.0,0.0,0.0,5335.0,8706.0,46447.0,2004 - 2005 Maha.csv,Maha,2004 - 2005
MAHAWELI_H,0.0,25093.0,0.0,25093.0,25093.0,0.0,0.0,25093.0,5756.0,0.0,0.0,5756.0,22504.0,129523.0,2004 - 2005 Maha.csv,Maha,2004 - 2005
COLOMBO,1087.0,100.0,3236.0,4422.0,100.0,1085.0,3231.0,4416.0,3944.0,2858.0,3394.0,3275.0,3754.0,12292.0,2005 - 2006 Maha.csv,Maha,2005 - 2006
GAMPAHA,1086.0,1227.0,7522.0,9835.0,1213.0,1071.0,7469.0,9753.0,3863.0,3541.0,3570.0,3603.0,8290.0,29869.0,2005 - 2006 Maha.csv,Maha,2005 - 2006
KALUTARA,1896.0,94.0,11207.0,13197.0,93.0,1885.0,11182.0,13160.0,3207.0,3006.0,2833.0,2861.0,12140.0,34729.0,2005 - 2006 Maha.csv,Maha,2005 - 2006
GALLE,175.0,0.0,13929.0,14104.0,0.0,175.0,13905.0,14079.0,0.0,3861.0,3493.0,3498.0,11019.0,38540.0,2005 - 2006 Maha.csv,Maha,2005 - 2006
MATARA,2901.0,3541.0,8341.0,14782.0,3541.0,2899.0,8228.0,14667.0,4437.0,3676.0,3971.0,4025.0,11580.0,46608.0,2005 - 2006 Maha.csv,Maha,2005 - 2006
RATNAPURA,6645.0,1868.0,3705.0,12219.0,1868.0,6631.0,3696.0,12196.0,4440.0,2836.0,2605.0,3012.0,10366.0,31221.0,2005 - 2006 Maha.csv,Maha,2005 - 2006
KEGALLE,2223.0,0.0,6554.0,8777.0,0.0,2223.0,6553.0,8776.0,0.0,3940.0,4063.0,4032.0,8221.0,33151.0,2005 - 2006 Maha.csv,Maha,2005 - 2006
KURUNEGALA,32699.0,12691.0,27942.0,73331.0,12691.0,32636.0,27879.0,73205.0,4262.0,3542.0,3512.0,3655.0,73205.0,267590.0,2005 - 2006 Maha.csv,Maha,2005 - 2006
PUTTALAM,5361.0,5309.0,689.0,11360.0,5287.0,5296.0,680.0,11263.0,3762.0,3095.0,3807.0,3451.0,9573.0,33039.0,2005 - 2006 Maha.csv,Maha,2005 - 2006
KANDY,5174.0,3859.0,3752.0,12784.0,3859.0,4993.0,3744.0,12595.0,4726.0,3261.0,2960.0,3620.0,9960.0,36060.0,2005 - 2006 Maha.csv,Maha,2005 - 2006
MATALE,7221.0,5144.0,3541.0,15906.0,5144.0,7206.0,3523.0,15874.0,4176.0,3177.0,3047.0,3472.0,14275.0,49562.0,2005 - 2006 Maha.csv,Maha,2005 - 2006
NUWARAELIYA,4569.0,1244.0,121.0,5935.0,1244.0,4569.0,121.0,5934.0,3795.0,3934.0,3581.0,3898.0,3344.0,13032.0,2005 - 2006 Maha.csv,Maha,2005 - 2006
BADULLA,8555.0,10395.0,3212.0,22162.0,10394.0,8550.0,3212.0,22156.0,4767.0,4030.0,3354.0,4278.0,18832.0,80562.0,2005 - 2006 Maha.csv,Maha,2005 - 2006
MONARAGALA,6154.0,5444.0,5148.0,16746.0,5444.0,6154.0,5148.0,16746.0,4700.0,3616.0,3578.0,3957.0,16411.0,64932.0,2005 - 2006 Maha.csv,Maha,2005 - 2006
